Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT1674:180
Coefficients for 360 degrees 
  Beginning: CT1673:000  1978:10:17_10h:41m:46s. 
  Centered:  CT1674:180  1978:10:31_01h:59m:57s. 
  End time:  CT1674:005  1978:11:13_08h:12m:38s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

  0   0     -12.82       0.00
  1   0      77.31       0.00
  1   1      10.29     -21.16
  2   0      21.03       0.00
  2   1    -104.65     -23.93
  2   2     -43.20      37.83
  3   0     245.80       0.00
  3   1      11.33       6.60
  3   2      49.94     163.45
  3   3     -55.66     -18.28
  4   0     121.07       0.00
  4   1      78.54      32.43
  4   2     -27.72      30.59
  4   3    -139.69      34.70
  4   4     162.49     -39.07
  5   0     259.96       0.00
  5   1     -42.31     -29.48
  5   2      44.13      -7.39
  5   3     125.47     -77.90
  5   4     -33.31     -12.98
  5   5      40.29      94.39
  6   0     -41.77       0.00
  6   1     -23.50      54.28
  6   2     135.41       8.00
  6   3      21.44      69.79
  6   4     225.16     170.50
  6   5     102.27    -211.77
  6   6     100.00    -206.00
  7   0    -111.66       0.00
  7   1     -24.89     -19.13
  7   2     -91.68    -173.24
  7   3      58.92      18.61
  7   4     183.09      36.28
  7   5      63.82      63.28
  7   6       7.84     175.06
  7   7      67.67      86.86
  8   0      44.40       0.00
  8   1     -56.15      -5.76
  8   2      26.12      36.49
  8   3     139.09    -170.65
  8   4    -127.52     -21.69
  8   5      -9.11      74.11
  8   6     -17.07     -43.16
  8   7      12.25     278.16
  8   8     -35.95      94.09
  9   0     -14.08       0.00
  9   1     -22.92      -2.89
  9   2    -101.18     -54.46
  9   3    -247.50       6.45
  9   4       3.21     -11.83
  9   5      -3.01    -178.83
  9   6      50.84     133.85
  9   7     176.47      14.05
  9   8     -49.71     -17.76
  9   9    -206.42    -121.30
 10   0     -41.94       0.00
 10   1      63.42      -3.87
 10   2      36.33       4.35
 10   3     -97.97     -32.92
 10   4      22.47    -103.99
 10   5     -41.21      28.84
 10   6     -43.55     249.82
 10   7     -82.65      50.90
 10   8     -24.63     155.70
 10   9     305.42     359.99
 10  10     193.82     113.63
 11   0    -167.56       0.00
 11   1       3.17     -59.93
 11   2     -66.25     -29.34
 11   3      23.82     134.29
 11   4    -134.29     -72.29
 11   5     -83.21      26.23
 11   6      -4.92     -69.46
 11   7      45.74     -87.35
 11   8     -18.07      -9.08
 11   9     -60.83    -247.56
 11  10    -308.76     197.07
 11  11      -5.16     122.54
 12   0     -79.75       0.00
 12   1     -52.55      46.45
 12   2      86.76     104.40
 12   3     128.95     -32.67
 12   4       2.04     123.97
 12   5     -11.62     -58.33
 12   6      84.83    -125.51
 12   7     152.19    -175.92
 12   8     -41.98       7.64
 12   9     106.41    -108.10
 12  10     240.94     110.70
 12  11    -195.55    -202.96
 12  12       2.57     108.18
 13   0    -294.41       0.00
 13   1     -38.71      39.84
 13   2     -77.91    -127.04
 13   3     -29.01      77.67
 13   4      37.29      13.02
 13   5      11.93      98.95
 13   6      -1.00    -101.65
 13   7    -170.84     -19.86
 13   8      75.35     -27.28
 13   9     234.36     -71.83
 13  10      44.82      68.30
 13  11      45.20     200.40
 13  12     212.13     -55.15
 13  13     -60.97    -300.10
 14   0     -19.68       0.00
 14   1      10.00     -20.37
 14   2      18.53     -15.70
