Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT1883:180
Coefficients for 360 degrees 
  Beginning: CT1882:000  1994:05:26_23h:24m:01s. 
  Centered:  CT1883:180  1994:06:09_14h:42m:12s. 
  End time:  CT1883:005  1994:06:22_20h:54m:53s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

  0   0      -6.76       0.00
  1   0     172.28       0.00
  1   1     -23.78      30.93
  2   0     -55.17       0.00
  2   1      26.07     -15.21
  2   2       3.39      -1.10
  3   0     262.50       0.00
  3   1      19.91      12.02
  3   2     -17.99     -32.96
  3   3     -22.21     -37.16
  4   0     -31.41       0.00
  4   1     -45.93      -2.76
  4   2     -15.74     -15.85
  4   3     -26.76       8.92
  4   4      16.87      17.10
  5   0     120.84       0.00
  5   1       2.33     -34.92
  5   2      -8.07       3.47
  5   3      -8.86      51.33
  5   4      50.43      10.01
  5   5      36.80      -5.86
  6   0     -17.88       0.00
  6   1      66.09      33.65
  6   2      11.82      39.99
  6   3      29.07      -2.41
  6   4       1.76     -11.91
  6   5     -57.82      47.28
  6   6     -21.07       7.10
  7   0      31.87       0.00
  7   1     -23.34      -7.96
  7   2      10.21      12.75
  7   3      21.78     -25.01
  7   4     -61.29     -36.61
  7   5     -28.73      15.34
  7   6     -44.38     -43.44
  7   7     -10.91       6.02
  8   0      13.56       0.00
  8   1      21.51       7.33
  8   2      17.20     -70.48
  8   3     -32.81     -44.95
  8   4     -11.31      27.19
  8   5      56.61     -19.54
  8   6      13.21      12.36
  8   7      36.42     -36.49
  8   8     -19.78      -2.25
  9   0    -105.22       0.00
  9   1      11.68     -10.29
  9   2      27.36     -33.37
  9   3     -13.31     -28.22
  9   4      41.97      20.93
  9   5      19.12      -8.69
  9   6      45.10      42.31
  9   7     -14.57      26.48
  9   8      15.19      39.33
  9   9     -36.77     -30.29
 10   0      21.07       0.00
 10   1      19.60       5.60
 10   2      -6.44       9.06
 10   3       9.12      44.99
 10   4      36.41     -17.13
 10   5     -38.10      20.47
 10   6     -25.63     -20.77
 10   7     -36.25      33.93
 10   8      -7.56      17.31
 10   9     -33.91     -17.25
 10  10     105.40     -18.80
 11   0    -182.77       0.00
 11   1      -9.70      -1.61
 11   2      -4.15      -1.63
 11   3     -26.74       6.17
 11   4     -14.47     -41.94
 11   5      -8.70      -6.17
 11   6     -31.72     -47.21
 11   7      19.33     -24.13
 11   8       7.32     -55.89
 11   9      -1.42     -12.70
 11  10      80.49      21.54
 11  11      32.62      58.53
 12   0      42.68       0.00
 12   1      -2.27      13.91
 12   2      12.23     -18.89
 12   3      -6.22     -12.38
 12   4      -3.48     -30.52
 12   5      19.03      -5.58
 12   6      -5.41       9.01
 12   7      58.34     -17.78
 12   8       6.36       8.78
 12   9      31.80      19.25
 12  10      -7.15     -28.61
 12  11     -80.57      60.05
 12  12     -29.78      -0.70
 13   0    -259.83       0.00
 13   1       4.68      -8.41
 13   2      23.38      -7.57
 13   3       2.29     -21.01
 13   4      41.21      18.14
 13   5       0.34      -0.57
 13   6       9.14      32.70
 13   7      -5.28      -8.72
 13   8     -16.91      44.05
 13   9      23.20      16.10
 13  10     -43.12     -37.60
 13  11       6.65      12.56
 13  12     -59.84     -71.10
 13  13      39.15     -41.12
 14   0      55.61       0.00
 14   1       2.80      -5.40
 14   2      15.15     -24.01
 14   3      -7.06      14.61
 14   4      -1.27      -5.09
 14   5      -5.95       5.35
 14   6       0.71       5.52
 14   7     -40.67       6.36
 14   8       1.61       5.39
 14   9      -7.70     -17.49
 14  10     -30.63      41.09
 14  11      67.89     -50.00
 14  12      16.43       1.66
 14  13      73.22       9.78
 14  14       7.80      52.75
 15   0    -314.12       0.00
 15   1      -2.50       5.41
 15   2       7.73      -4.74
 15   3     -25.59     -15.56
 15   4       7.65     -19.12
 15   5       7.35      -9.78
 15   6      -5.78     -31.53
 15   7       0.12       7.64
 15   8      15.46     -21.54
 15   9     -25.85       3.77
 15  10      20.26      14.45
 15  11     -19.22     -24.70
 15  12      33.37      65.58
 15  13      -7.43      -1.19
 15  14     -58.58      29.24
 15  15     -20.88     -19.90
 16   0      60.04       0.00
 16   1      -2.49      -6.49
 16   2      -1.30      -1.80
 16   3      -7.86       0.96
 16   4      20.44     -36.81
 16   5      -2.93      -3.67
 16   6      -3.23      -5.78
 16   7      22.77       0.64
 16   8      -7.93      -0.91
 16   9      13.16       4.85
 16  10      28.37     -16.04
 16  11     -39.44      12.75
 16  12      14.83      -5.30
 16  13     -52.81      -7.90
 16  14      14.31      19.04
 16  15      16.33     -65.27
 16  16      15.24     -42.78
 17   0    -327.29       0.00
 17   1       3.73       5.97
 17   2       3.19      -9.67
 17   3      -3.63     -19.50
 17   4      21.28     -18.30
 17   5     -10.32       5.21
 17   6      -6.17     -16.02
 17   7     -16.70     -22.66
 17   8     -12.41       5.52
 17   9      18.38       5.81
 17  10      -8.18     -17.90
 17  11      21.89      27.70
 17  12     -20.80     -44.72
 17  13      -7.07      20.72
 17  14      38.63      -7.01
 17  15      -8.42     -11.91
 17  16      27.64      54.34
 17  17      55.67      23.76
 18   0      56.46       0.00
 18   1     -24.72      -8.05
 18   2       3.04     -15.68
 18   3      -2.90       0.77
 18   4       3.21     -16.14
 18   5       3.57      -2.14
 18   6       4.70       5.63
 18   7      15.38      -3.04
 18   8       3.88      -7.21
 18   9       2.05       3.17
 18  10     -20.56      13.85
 18  11      21.43      -1.54
 18  12     -25.51      14.82
 18  13      27.47       9.46
 18  14     -11.37     -21.07
 18  15     -16.96      37.97
 18  16      -2.49     -29.58
 18  17     -49.53      17.74
 18  18     -36.18      53.29
 19   0    -246.40       0.00
 19   1       1.56      15.85
 19   2      10.01      -3.43
 19   3     -21.46     -15.69
 19   4      33.42       3.87
 19   5      11.02      -8.63
 19   6       2.24      -4.61
 19   7       0.97      10.34
 19   8     -12.43       2.75
 19   9     -22.24       6.77
 19  10      -9.55       4.71
 19  11     -26.01     -13.41
 19  12      -2.98      11.42
 19  13       4.71     -18.63
 19  14     -23.70      -4.78
 19  15      13.69      10.24
 19  16     -19.61     -30.50
 19  17      22.32      20.54
