Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT2047:180
Coefficients for 360 degrees 
  Beginning: CT2046:000  2006:08:25_02h:49m:25s. 
  Centered:  CT2047:180  2006:09:07_18h:07m:36s. 
  End time:  CT2047:005  2006:09:21_00h:20m:17s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

  0   0      -6.01       0.00
  1   0     -95.42       0.00
  1   1     -12.48       8.29
  2   0     -37.72       0.00
  2   1       8.01      -2.15
  2   2     -51.07      -3.93
  3   0    -154.81       0.00
  3   1      26.46       0.63
  3   2      21.21      -2.46
  3   3      -0.06      17.33
  4   0     -18.88       0.00
  4   1      17.94     -17.17
  4   2      39.17      19.19
  4   3     -27.75      10.60
  4   4     -47.74      44.54
  5   0    -102.92       0.00
  5   1     -22.64      17.08
  5   2     -18.25      -2.57
  5   3      11.66       2.21
  5   4      -5.20     -32.86
  5   5     -11.19      21.85
  6   0      -9.11       0.00
  6   1      -2.66     -21.76
  6   2     -11.69     -29.44
  6   3      28.35     -15.41
  6   4      25.78       2.32
  6   5       2.44     -16.13
  6   6     -68.19      -6.02
  7   0      21.96       0.00
  7   1      -5.89      21.74
  7   2      48.37       9.99
  7   3     -18.20     -15.85
  7   4     -17.36      30.53
  7   5       3.81      -1.46
  7   6     -19.57      15.15
  7   7      14.44      -4.84
  8   0       8.93       0.00
  8   1      -2.41       6.26
  8   2     -49.33      18.52
  8   3     -22.63      26.49
  8   4     -26.03     -28.59
  8   5      -7.57      11.41
  8   6      73.65      -3.30
  8   7     -38.54     -19.69
  8   8     -77.72      82.33
  9   0      43.31       0.00
  9   1       9.89       1.75
  9   2     -10.23     -26.65
  9   3       6.50       0.50
  9   4      -8.24      -7.74
  9   5      -2.74       5.81
  9   6      -3.82     -18.99
  9   7       9.54       5.56
  9   8      65.91     -61.07
  9   9      14.68     -78.55
 10   0       5.63       0.00
 10   1      13.09     -16.58
 10   2      28.01       4.35
 10   3      26.14     -15.29
 10   4      18.29      49.17
 10   5      19.48       6.26
 10   6     -55.91       4.01
 10   7      35.79      13.04
 10   8       5.18     -36.28
 10   9     -47.02      82.18
 10  10     106.15     112.36
 11   0     107.37       0.00
 11   1     -15.09      22.41
 11   2      14.23      33.10
 11   3     -11.92      -3.73
 11   4      -3.43     -17.94
 11   5      -0.95      -8.40
 11   6      34.37      15.05
 11   7     -26.72     -10.03
 11   8     -58.68      51.41
 11   9      14.58     -31.58
 11  10     -70.21    -126.20
 11  11     -25.55      14.85
 12   0      39.62       0.00
 12   1       5.32     -11.70
 12   2     -50.40       6.20
 12   3      15.82      -0.10
 12   4       2.83     -40.24
 12   5     -16.11       5.30
 12   6      25.87      -6.06
 12   7     -11.38     -12.33
 12   8      18.81      17.99
 12   9      21.15     -32.51
 12  10      -9.62     -11.23
 12  11      76.99      -7.29
 12  12     129.72     -51.03
 13   0     148.58       0.00
 13   1       9.31      -7.96
 13   2      34.69      -6.73
 13   3      11.44     -27.60
 13   4     -13.54      26.25
 13   5      19.28     -12.47
 13   6     -25.65     -12.49
 13   7      26.58       0.39
 13   8      26.12     -28.00
 13   9     -24.84      61.75
 13  10      36.10      89.49
 13  11     -67.82      -7.25
 13  12     -98.66      31.42
 13  13      94.06      39.02
 14   0      30.21       0.00
 14   1     -13.59      14.54
 14   2      11.65       5.00
 14   3       0.67     -10.85
 14   4       1.36      35.69
 14   5      -7.90       9.34
 14   6     -19.94      19.41
 14   7     -10.99       2.35
 14   8     -15.36     -15.62
 14   9      -8.67      -2.53
 14  10     -29.09     -22.99
 14  11     -25.77       7.03
 14  12     -13.34     -23.06
 14  13     -43.49     -72.75
 14  14      12.23     -44.31
 15   0     204.13       0.00
 15   1      -6.52       5.49
 15   2     -19.46       2.43
 15   3      -9.84     -12.78
 15   4      -7.14     -37.23
 15   5      -2.86      -9.41
 15   6      16.95      -1.64
 15   7     -11.32       3.61
 15   8      -7.43      21.85
 15   9      24.11     -51.87
 15  10      -5.52     -43.67
 15  11      78.36      28.46
 15  12      57.48      -0.59
 15  13     -20.63      42.16
 15  14      17.56      48.17
 15  15      58.02    -133.75
 16   0      42.42       0.00
 16   1      12.51     -11.93
 16   2     -26.21       6.31
 16   3      33.75      -6.79
 16   4       4.67     -15.74
 16   5      -0.94       5.65
 16   6      10.41       3.40
 16   7      24.73      -8.78
 16   8       9.15       4.47
 16   9     -10.45      40.45
 16  10      24.60      17.48
 16  11     -12.84      -6.59
 16  12     -22.44      38.35
 16  13       8.40      23.36
 16  14     -48.71     -14.92
 16  15     -42.73      94.09
 16  16      19.82       4.87
 17   0     185.74       0.00
 17   1       4.84     -14.08
 17   2      39.17      -3.58
 17   3       3.78     -10.31
 17   4     -14.00      31.47
 17   5       2.27     -11.14
 17   6      -8.94      -6.03
 17   7      16.61      -0.22
 17   8       0.53     -11.50
 17   9      -8.61      29.84
 17  10     -20.28       9.37
 17  11     -54.34     -17.89
 17  12     -17.81     -26.32
 17  13       8.34     -48.96
 17  14      11.07     -27.39
 17  15      12.15      16.40
 17  16       0.82     -19.55
 17  17    -107.69     -99.11
 18   0      36.03       0.00
 18   1     -12.58      22.37
 18   2      -6.73      -5.23
 18   3       3.82      -4.16
 18   4       6.09       8.87
 18   5     -13.73       9.26
 18   6      -6.30      -0.38
 18   7     -23.62      -2.40
 18   8      -0.10     -10.09
 18   9       8.57     -44.33
 18  10     -12.02      -2.34
 18  11      41.83      14.72
 18  12      14.27     -25.19
 18  13      -8.30      20.51
 18  14      38.17      20.07
 18  15      13.88     -47.20
 18  16      -4.79      45.25
 18  17      88.42      79.41
 18  18       4.67     -58.71
 19   0     145.38       0.00
 19   1       7.49     -18.76
 19   2     -14.62       8.13
 19   3      -3.18     -20.06
 19   4      -9.59     -32.22
 19   5       9.70     -15.37
 19   6      23.62      -7.61
 19   7       1.05       1.69
 19   8       3.65      15.29
 19   9       3.73     -13.97
 19  10      21.01      -6.74
 19  11      21.80       6.89
 19  12      -7.40      24.89
 19  13      -6.19      38.41
 19  14     -23.73       9.76
 19  15     -12.48       4.72
 19  16      -2.16     -14.76
 19  17      -9.74       7.68
 19  18     -11.44      31.93
 19  19    -102.83      75.95
 20   0      21.64       0.00
 20   1      -5.28      12.84
 20   2       8.82       6.78
 20   3      20.07      -4.76
 20   4       8.58       7.30
 20   5     -11.23       8.69
 20   6       5.01      12.09
 20   7      11.34      -8.59
 20   8      -9.86       3.10
 20   9     -14.12      37.30
 20  10       2.72     -10.29
 20  11     -38.43      -7.18
 20  12      -1.17      13.33
 20  13       4.15     -39.33
 20  14     -23.45      -8.85
 20  15       2.39       9.39
 20  16       2.22     -33.84
 20  17     -24.37     -37.77
 20  18      27.08       6.44
 20  19      64.01     -61.25
 20  20     -63.54      -6.64
 21   0      40.08       0.00
 21   1       0.23     -19.51
 21   2       5.41      -8.12
 21   3      -4.19     -11.20
 21   4     -14.16      13.67
 21   5       1.95     -17.94
 21   6     -13.08      -8.54
 21   7       1.56      -2.38
 21   8      -0.41      -8.89
 21   9       8.34      -6.97
 21  10     -15.56      -2.45
 21  11       1.86       1.24
 21  12       6.37     -27.94
 21  13       2.12      -6.10
 21  14      37.36      -1.69
 21  15      13.54      -8.92
 21  16       2.68      34.21
 21  17      24.74       7.21
 21  18      -7.35     -18.88
 21  19      23.68      40.44
 21  20      47.38       1.33
 21  21       1.90      48.10
 22   0      -5.64       0.00
 22   1     -12.13      21.43
 22   2       0.85      -8.29
 22   3      11.10      -6.75
 22   4       4.39      -0.16
 22   5     -11.13      10.26
 22   6       3.40       1.83
 22   7      -6.78      -4.43
 22   8       8.69      -6.47
 22   9       4.01     -20.19
 22  10       8.71      20.45
 22  11      33.65      16.52
 22  12     -10.61       2.83
 22  13      -3.72      32.63
 22  14       8.40      -5.86
 22  15     -19.43       2.94
 22  16       0.11      20.12
 22  17     -10.26       8.10
 22  18     -10.41      11.91
 22  19     -33.83      -0.69
 22  20     -30.23      -1.10
 22  21     -20.27     -22.37
 22  22      -1.31      55.68
 23   0     -90.84       0.00
 23   1       7.03     -26.64
 23   2     -16.47       1.64
 23   3       3.32      -9.86
 23   4     -17.64     -12.88
 23   5      10.06     -19.14
 23   6      18.43      -7.56
 23   7       9.96       4.42
 23   8      -5.22      15.77
 23   9      -4.88       7.77
 23  10       2.46     -13.48
 23  11     -15.70      -4.71
 23  12      -0.16      15.91
 23  13      -1.15      -4.40
 23  14     -20.87       0.37
 23  15       3.16     -12.96
 23  16      -0.48     -31.07
 23  17      -6.99       3.66
 23  18      17.47      -2.12
 23  19     -12.17     -33.12
 23  20      -1.09       8.71
 23  21      47.05     -24.43
 23  22     -12.69     -67.37
 23  23     -16.29      20.34
 24   0     -33.13       0.00
 24   1      -9.52      18.49
 24   2      23.79      -5.09
 24   3       3.41       2.14
 24   4       9.43       8.51
 24   5     -17.41      14.47
 24   6      -1.57      10.69
 24   7      -0.93      -8.61
 24   8     -11.36       0.85
 24   9      -4.63       7.69
 24  10      -5.07     -16.28
 24  11     -14.26      -4.13
 24  12      14.31      -1.02
 24  13       9.51     -15.38
 24  14       4.15      15.29
 24  15       3.84       6.14
 24  16      -1.33      -4.02
 24  17      11.89      -9.63
 24  18       7.36       1.45
 24  19      22.13      21.82
 24  20      20.46       3.80
 24  21     -19.16      21.87
 24  22       8.57      42.85
 24  23      21.03       7.11
 24  24      69.19     -18.16
