Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT2016:180
Coefficients for 360 degrees 
  Beginning: CT2015:000  2004:05:01_14h:01m:48s. 
  Centered:  CT2016:180  2004:05:15_05h:19m:59s. 
  End time:  CT2016:005  2004:05:28_11h:32m:40s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

  0   0       3.44       0.00
  1   0     -86.56       0.00
  1   1     -30.60      30.81
  2   0      28.51       0.00
  2   1      -2.30      -7.40
  2   2       0.68     -27.86
  3   0    -169.46       0.00
  3   1      70.34     -30.46
  3   2      -4.37     -18.27
  3   3      14.28      24.05
  4   0      30.62       0.00
  4   1     -12.98      10.89
  4   2      -9.92      11.89
  4   3     -96.05     -69.82
  4   4      81.34      52.18
  5   0    -104.53       0.00
  5   1     -81.80     -25.57
  5   2     -14.60      17.26
  5   3     -35.11     -37.45
  5   4       1.92     -44.35
  5   5      58.19      60.97
  6   0      38.22       0.00
  6   1     -38.73     -18.16
  6   2      27.53     -17.64
  6   3     107.48     115.60
  6   4     -18.68      -2.43
  6   5     -38.56       3.36
  6   6      82.69     -74.88
  7   0     -16.75       0.00
  7   1     -13.60      19.71
  7   2      -5.31       6.81
  7   3      25.42       8.08
  7   4      35.19      36.51
  7   5      -4.85     -56.32
  7   6       5.32      43.65
  7   7    -165.42      17.80
  8   0     -22.50       0.00
  8   1       3.57     -19.61
  8   2     -50.64      -2.78
  8   3     -55.73    -101.85
  8   4      -9.39     -24.13
  8   5      21.46      51.85
  8   6     -56.05     -25.06
  8   7     141.58      -4.52
  8   8    -195.34     -32.93
  9   0      78.87       0.00
  9   1     -24.72       7.90
  9   2      -7.85      -2.25
  9   3     -13.98     -32.48
  9   4     -53.81     -13.21
  9   5     -36.43      18.51
  9   6       3.34       3.66
  9   7      82.48      66.06
  9   8      85.69      67.84
  9   9     -64.64     -81.78
 10   0     -29.87       0.00
 10   1     -31.31     -38.01
 10   2      25.93      25.85
 10   3      49.92      41.05
 10   4      21.64      38.61
 10   5       9.99     -78.83
 10   6      19.17      25.25
 10   7     -83.67       8.70
 10   8       5.58      47.61
 10   9     -14.48      60.48
 10  10      17.98     -62.17
 11   0     108.31       0.00
 11   1       8.15     -13.14
 11   2       1.00      28.83
 11   3     -28.35      33.56
 11   4       9.65       2.10
 11   5      19.87      13.70
 11   6       3.79     -54.85
 11   7      38.27     -68.51
 11   8     -81.93      -2.62
 11   9       2.83     -32.51
 11  10     -41.09      39.04
 11  11     153.42     -80.51
 12   0      -2.00       0.00
 12   1      -5.07      26.04
 12   2     -21.22     -27.76
 12   3       3.52      -6.25
 12   4     -24.71     -66.40
 12   5     -18.22      58.97
 12   6      24.62      -2.25
 12   7      23.51     -16.16
 12   8      30.79     -35.84
 12   9     -26.10    -104.03
 12  10      -6.98     -44.50
 12  11     -93.55      30.00
 12  12     102.02      25.02
 13   0     153.50       0.00
 13   1     -44.62       1.59
 13   2     -12.65      -3.97
 13   3      38.33     -18.09
 13   4     -38.99       1.02
 13   5     -26.60     -56.16
 13   6       0.02      21.66
 13   7    -103.04      14.43
 13   8      58.23       8.69
 13   9      14.16      44.44
 13  10      30.08     -43.12
 13  11     -20.59     -31.81
 13  12     -72.63      15.77
 13  13     106.94     -11.17
 14   0     -86.63       0.00
 14   1      11.51     -11.24
 14   2     -10.38      18.93
 14   3       4.05     -15.39
 14   4       2.72      63.79
 14   5       5.21     -31.74
 14   6     -24.75     -32.08
 14   7      10.34      20.52
 14   8     -75.94     -19.93
 14   9      25.09      62.80
 14  10     -21.55      64.27
 14  11      63.43     -50.59
 14  12      40.57       0.03
 14  13    -122.62      30.14
 14  14      34.18     142.61
 15   0     229.72       0.00
 15   1      40.20     -12.92
 15   2      -6.78       9.70
 15   3     -54.93      -4.98
 15   4     -17.43     -30.20
 15   5     -16.81      44.03
 15   6      36.06     -19.45
 15   7      84.52       2.19
 15   8      -5.89      -1.31
 15   9     -31.19     -69.03
 15  10      10.32      43.82
 15  11     -34.54      66.73
 15  12      67.62      11.62
 15  13     -50.98       5.73
 15  14       7.73    -209.54
 15  15      21.46      72.78
 16   0     -12.13       0.00
 16   1     -14.67       5.55
 16   2       2.40      -5.95
 16   3      41.24     -10.48
 16   4     -16.52     -56.48
 16   5     -12.14     -20.40
 16   6      23.85      27.77
 16   7     -24.75     -36.30
 16   8      56.65      29.11
 16   9       8.54     -12.14
 16  10      62.35     -18.06
 16  11     -57.27      52.10
 16  12     -91.14     -25.64
 16  13      57.73      19.96
 16  14       2.33      -9.86
 16  15      44.58     -87.91
 16  16     -90.70      22.11
 17   0     176.70       0.00
 17   1      -0.51      25.43
 17   2       2.52      17.51
 17   3      34.31       5.86
 17   4     -25.10      26.19
 17   5      -9.84     -34.55
 17   6     -23.35     -11.91
 17   7     -81.92     -26.05
 17   8     -27.23     -14.12
 17   9      42.24      66.06
 17  10     -36.00     -32.16
 17  11      30.38     -50.33
 17  12     -13.81     -24.49
 17  13       4.26      13.37
 17  14     -25.66      88.63
 17  15      32.46       3.10
 17  16     113.81      29.58
 17  17       0.29     -30.31
 18   0     -56.62       0.00
 18   1      39.54      14.01
 18   2      -9.86      -0.56
 18   3      -6.94       7.64
 18   4      -2.28      28.47
 18   5       4.03      19.58
 18   6      -0.39     -33.97
 18   7      55.42      21.29
 18   8     -49.27     -28.57
 18   9     -26.83     -10.97
 18  10     -70.07       9.34
 18  11      29.09     -14.98
 18  12      90.38       0.72
 18  13      -8.54     -21.83
 18  14     -35.67     -88.01
 18  15       0.07      52.74
 18  16       9.90      13.74
 18  17     -29.77      14.61
 18  18    -131.81     -17.90
 19   0     166.27       0.00
 19   1      29.90     -15.51
 19   2     -11.08     -11.07
 19   3     -29.90       1.67
 19   4     -44.61     -39.91
 19   5     -13.83      -6.31
 19   6      34.13      -2.58
 19   7      43.22      -7.08
 19   8      33.42      11.64
 19   9     -18.65     -43.60
 19  10      43.43      10.71
 19  11     -13.32      17.52
 19  12     -27.31      11.65
 19  13      15.03       4.36
 19  14      24.11     -10.27
 19  15      51.16     -35.54
 19  16     -46.79      31.42
 19  17     -44.58      49.56
 19  18      58.08      -5.74
 19  19      60.67    -121.04
 20   0     -22.37       0.00
 20   1      14.41      24.60
 20   2       3.51       1.94
 20   3      34.54     -17.02
 20   4     -14.68     -21.50
 20   5     -16.75     -33.72
 20   6       3.20       2.01
 20   7     -47.39      -8.67
 20   8      22.92      16.11
 20   9      40.41      28.11
 20  10      47.29      -9.70
 20  11      18.84     -15.87
 20  12     -55.58      -0.22
 20  13       6.05      14.76
 20  14      37.86     107.27
 20  15      -1.66       1.18
 20  16      -0.97       3.61
 20  17     -21.04     -10.62
 20  18     -26.29     -54.61
 20  19     -78.24      42.20
 20  20     -47.33      69.31
 21   0      42.25       0.00
 21   1      39.23      13.07
 21   2       6.50       5.31
 21   3      -1.61     -17.22
 21   4     -25.34      16.76
 21   5     -22.68       2.28
 21   6       2.33     -10.97
 21   7     -33.91      -8.24
 21   8     -46.89      -4.43
 21   9       6.30      21.33
 21  10     -32.79      10.59
 21  11       0.37       1.07
 21  12      60.01       6.89
 21  13     -26.80       5.57
 21  14     -21.61     -45.49
 21  15     -56.20      44.89
 21  16       1.21     -19.25
 21  17      51.44     -20.17
 21  18     -56.29     -10.72
 21  19      34.50     -27.00
 21  20      63.86       1.57
 21  21      39.95     -34.55
 22   0       9.74       0.00
 22   1      41.93      22.25
 22   2       3.40      -5.87
 22   3       3.71       0.11
 22   4     -15.90      -0.93
 22   5       1.90       2.80
 22   6       7.96     -10.39
 22   7      42.74     -15.27
 22   8      -6.16     -10.49
 22   9     -10.48     -28.49
 22  10      -8.64       0.09
 22  11     -17.64      36.41
 22  12      33.86      -9.60
 22  13       1.60      -8.06
 22  14     -28.86     -54.55
 22  15      27.63     -16.65
 22  16     -15.57      -3.21
 22  17      -6.03     -21.68
 22  18      30.34      47.12
 22  19      35.78     -62.66
 22  20      35.41      -0.42
 22  21     -47.10      39.25
 22  22     -21.54      40.41
 23   0    -111.02       0.00
 23   1      29.93       7.14
 23   2       3.44     -13.87
 23   3       1.52      14.35
 23   4     -45.56     -27.74
 23   5     -22.36     -22.32
 23   6       7.39      -6.94
 23   7     -11.01     -14.61
 23   8      20.28      -4.57
 23   9      -4.66       6.80
 23  10      14.18     -20.07
 23  11       8.84       1.68
 23  12     -47.12     -14.35
 23  13       9.94      10.14
 23  14      24.91      52.80
 23  15      32.60     -32.83
 23  16     -13.68       6.91
 23  17     -38.63     -25.12
 23  18      18.33      -5.98
 23  19     -20.73      19.57
 23  20      17.27      10.41
 23  21      -8.70      53.44
 23  22       1.30      -6.56
 23  23      38.04      25.92
 24   0      43.73       0.00
 24   1      18.03      16.94
 24   2      11.35       3.41
 24   3      11.24      -4.40
 24   4      -7.96      -5.18
 24   5     -13.23     -19.92
 24   6       5.21      -9.77
 24   7     -10.87       9.15
 24   8      -1.79      -0.23
 24   9      18.31      23.87
 24  10       7.62      -9.80
 24  11      17.23     -18.82
 24  12      -6.87      -2.42
 24  13       0.81      -6.06
 24  14      24.20      14.96
 24  15     -24.65      16.46
 24  16       8.00       4.99
 24  17      27.87      11.64
 24  18       1.41     -21.05
 24  19     -33.04      12.80
 24  20      -3.17      17.54
 24  21      10.24     -13.43
 24  22     -15.91     -48.37
 24  23       9.03     -84.87
 24  24     -10.04      13.55
 25   0    -264.67       0.00
 25   1      21.35       8.29
 25   2      11.17     -13.66
 25   3      -8.67     -15.06
 25   4     -37.39       1.01
 25   5     -26.37      -5.73
 25   6      22.17     -14.00
 25   7       0.22     -13.31
 25   8     -19.63      -0.58
 25   9       1.99      -4.59
 25  10     -14.53      18.26
 25  11      -1.49       9.68
 25  12      42.85       2.00
 25  13       2.68      -1.74
 25  14      -8.60     -41.52
 25  15     -12.92       1.46
 25  16      -2.51      -4.98
 25  17      19.41       7.20
 25  18      15.07      31.92
 25  19      -9.10      -0.51
 25  20      -5.73     -11.41
 25  21     -10.10     -15.99
 25  22     -11.28      -4.02
 25  23     -11.30      60.30
 25  24      28.72      42.65
 25  25      11.00     -31.64
 26   0      77.24       0.00
 26   1      20.70       5.99
 26   2      11.89      -2.44
 26   3      -5.92       5.09
 26   4     -12.34      -7.04
 26   5      -9.15     -15.37
 26   6       7.96     -13.39
 26   7       9.63     -13.97
 26   8       7.15       2.18
 26   9       9.35     -11.87
 26  10      11.96     -10.88
 26  11      -5.20      16.93
 26  12      -2.69      -2.94
 26  13       5.25       5.86
 26  14      -7.61      22.20
 26  15      18.86     -14.80
 26  16       1.38      -0.78
 26  17     -32.72      13.16
 26  18     -10.50      16.11
 26  19     -12.47      15.70
 26  20      -0.04     -16.55
 26  21      -0.73      22.30
 26  22     -28.50      13.05
 26  23      22.97     -18.24
 26  24       5.79     -35.55
 26  25      -6.05      10.58
 26  26      13.24      20.28
 27   0    -387.01       0.00
 27   1      -1.35       5.36
 27   2      14.68     -17.89
 27   3       8.85       6.25
 27   4     -26.41      -9.99
 27   5     -31.49     -18.40
 27   6      11.52     -10.11
 27   7     -22.36     -13.56
 27   8      -5.49      -2.29
 27   9      -2.85      13.81
 27  10      -1.33      -8.54
 27  11      16.46      -0.80
 27  12      -9.32      -7.32
 27  13     -11.02       5.65
 27  14      11.39      18.73
 27  15       1.16       7.49
 27  16       3.02      -6.99
 27  17     -11.32       6.46
 27  18     -25.56     -26.64
 27  19      19.08      -8.48
 27  20       2.44       7.68
 27  21       6.65      11.60
 27  22      21.21     -11.84
 27  23      12.31     -58.85
 27  24       2.85      26.12
 27  25     -11.13      38.37
 27  26      -7.67      23.08
 27  27     -39.62     -56.28
 28   0      90.69       0.00
 28   1     -12.47      -8.97
 28   2      13.09       2.99
 28   3     -17.60       4.89
 28   4      -3.85      -2.34
 28   5     -10.74     -16.81
 28   6      10.55     -16.38
 28   7      10.37      -2.50
 28   8      -1.65      -2.77
 28   9       8.55       6.74
 28  10       4.62      -3.18
 28  11       0.83       1.44
 28  12       6.17      -2.94
 28  13      -2.94      -7.74
 28  14      13.47     -28.26
 28  15      -2.47       9.14
 28  16     -21.91      -1.21
 28  17      22.12      -8.68
 28  18       8.32     -10.82
 28  19      11.35     -19.43
 28  20      -4.43       8.46
 28  21      -0.30     -18.63
 28  22      31.04       3.34
 28  23      -0.39      42.29
 28  24      11.74      39.46
 28  25      -8.23       8.70
 28  26     -13.15     -61.63
 28  27      30.92      18.66
 28  28      58.13      27.82
 29   0    -398.05       0.00
 29   1     -25.59      -1.64
 29   2      13.49     -14.22
 29   3       7.05       0.15
 29   4      -9.64       0.54
 29   5     -31.45     -14.21
 29   6      25.90     -19.58
 29   7     -12.51     -21.08
 29   8      -9.57      -2.45
 29   9      -0.29      -0.50
 29  10      -7.27       4.43
 29  11       0.38       8.15
 29  12      12.71      -6.71
 29  13      12.70      -3.42
 29  14       1.79      -5.70
 29  15       5.23     -12.23
 29  16     -11.14      -3.86
 29  17       7.43      -6.64
 29  18      11.71      24.16
 29  19     -13.09      16.40
 29  20      13.63      -2.85
 29  21       8.20     -11.27
 29  22     -14.80      10.98
 29  23     -17.55      42.68
 29  24       1.97     -33.31
 29  25      -4.83     -18.15
 29  26      -7.88      19.06
 29  27       2.50       5.21
 29  28     -38.79     -11.72
 29  29     -38.53     -49.43
