Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT1950:180
Coefficients for 360 degrees 
  Beginning: CT1949:000  1999:05:28_10h:01m:06s. 
  Centered:  CT1950:180  1999:06:11_01h:19m:17s. 
  End time:  CT1950:005  1999:06:24_07h:31m:58s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

  0   0      37.09       0.00
  1   0      27.35       0.00
  1   1      -9.97      27.30
  2   0      36.25       0.00
  2   1      41.73     -31.30
  2   2      16.97     -23.71
  3   0      94.74       0.00
  3   1     -69.26      66.64
  3   2     -23.54      37.02
  3   3     -77.12       5.91
  4   0      81.34       0.00
  4   1     -26.42      36.24
  4   2      29.41      -1.80
  4   3      53.58      16.30
  4   4      10.08      59.36
  5   0     216.89       0.00
  5   1     104.48     -64.10
  5   2      -3.66      11.31
  5   3     -20.92      74.12
  5   4     -74.25     110.01
  5   5     106.09      10.30
  6   0      -4.06       0.00
  6   1     -34.70     -56.29
  6   2      10.94     -18.56
  6   3     -11.70     -14.53
  6   4      41.37      16.64
  6   5     166.92    -136.64
  6   6     -28.24      20.80
  7   0      -0.51       0.00
  7   1     115.83     -25.84
  7   2      22.12      -2.88
  7   3      61.30     -11.00
  7   4     111.41     -14.32
  7   5      64.75       7.82
  7   6      -4.26     -16.77
  7   7      68.50     -74.47
  8   0     -34.53       0.00
  8   1      19.34     -36.62
  8   2       2.14      19.05
  8   3      21.83       4.10
  8   4     -10.09     -64.51
  8   5      96.97      -1.78
  8   6     -39.73       7.31
  8   7     134.52    -321.29
  8   8     -78.78    -141.45
  9   0     -71.19       0.00
  9   1      40.40      31.70
  9   2      29.65      22.55
  9   3      -5.45     -71.42
  9   4     -13.25     -51.06
  9   5     -78.82      81.91
  9   6     -94.54      39.51
  9   7      58.14       1.04
  9   8    -135.21    -150.19
  9   9     -15.95     -64.21
 10   0       8.36       0.00
 10   1      13.88      -1.46
 10   2      -6.54     -41.87
 10   3       0.96     -10.30
 10   4      44.69     109.44
 10   5    -104.36      82.70
 10   6      66.86     109.07
 10   7     -95.03      81.81
 10   8    -122.98    -156.81
 10   9    -107.22    -165.14
 10  10     -13.01     -17.38
 11   0    -131.67       0.00
 11   1      41.63     -20.02
 11   2      27.89     -86.80
 11   3     -10.11      -1.64
 11   4     -22.31      31.00
 11   5      74.85     -59.68
 11   6     110.68       4.15
 11   7     -61.16     153.03
 11   8     -82.62     -28.21
 11   9    -100.19    -171.83
 11  10    -143.19      31.94
 11  11     -57.39      -2.92
 12   0     -78.13       0.00
 12   1     -43.98      -9.37
 12   2      -0.86     -19.58
 12   3     -72.86     -58.53
 12   4     -40.35      -3.02
 12   5     -15.44     -45.55
 12   6      12.11     -56.23
 12   7     -69.24     169.88
 12   8      61.99     104.50
 12   9     -97.46     -83.41
 12  10      47.06     -79.18
 12  11     187.25     -33.42
 12  12     -20.45     -85.52
 13   0    -116.39       0.00
 13   1       8.84     -21.52
 13   2      22.93      61.75
 13   3      11.95     -28.54
 13   4      15.03      -6.51
 13   5     -37.44     -27.12
 13   6     -32.43      37.22
 13   7     -11.29     -63.27
 13   8       9.24     122.03
 13   9      20.64      17.47
 13  10      33.18       1.91
 13  11    -124.05     116.72
 13  12     -88.84      24.30
 13  13     -19.10     109.23
 14   0     -79.05       0.00
 14   1      17.46      -4.19
 14   2       7.71      36.73
 14   3      18.66       0.24
 14   4     -43.70     -42.35
 14   5      13.64      26.24
 14   6     -48.00     -49.58
 14   7      77.31    -154.79
 14   8     -24.84     -18.48
 14   9      21.74      53.17
 14  10      69.46     -84.08
 14  11      28.64     -82.14
 14  12       8.54      18.80
 14  13    -137.27      22.09
 14  14       1.15      66.37
 15   0    -158.40       0.00
 15   1      -6.44      25.85
 15   2      13.41     -15.00
 15   3       7.12     -61.88
 15   4      -1.97      -9.72
 15   5     -41.10      53.89
 15   6      -4.35     -19.33
 15   7      -2.38     -78.64
 15   8     -11.67     -53.60
 15   9      18.30      40.35
 15  10     170.08      29.57
 15  11      -0.21       7.61
 15  12      72.90      78.19
 15  13      78.85      46.13
 15  14     113.17      65.81
 15  15      50.01     -45.85
 16   0     -85.15       0.00
 16   1      14.94       9.91
 16   2      -1.04     -57.98
 16   3     -24.26     -26.49
 16   4      15.95      84.98
 16   5      32.89     -21.50
 16   6      43.41      52.43
 16   7     -32.61      73.42
 16   8     -71.98     -38.59
 16   9     -10.15     -50.08
 16  10       5.29      21.12
 16  11     -41.18     -20.36
 16  12      83.62     147.00
 16  13     -16.66      -9.93
 16  14      22.05      22.33
 16  15      73.26     -80.36
 16  16      32.85     -20.68
 17   0    -187.26       0.00
 17   1     -48.20       0.17
 17   2      23.34     -35.14
 17   3       6.25     -26.96
 17   4     -30.43      -2.87
 17   5      18.70     -56.49
 17   6       8.75     -18.99
 17   7     -21.70      72.15
 17   8      -0.56      34.37
 17   9     -33.30     -79.99
 17  10     -94.43      -7.52
 17  11      27.53     -10.19
 17  12       9.12       5.99
 17  13     -54.53     -56.91
 17  14     -29.28      14.48
 17  15      37.16    -154.59
 17  16     -11.10      94.27
 17  17     -30.57     -18.41
 18   0     -67.85       0.00
 18   1     -10.34      17.79
 18   2       5.44      15.11
 18   3     -36.78     -37.06
 18   4     -64.24      -6.94
 18   5     -43.09      -4.27
 18   6     -21.27     -44.23
 18   7     -22.01      44.95
 18   8      65.78      48.96
 18   9      25.87     -20.26
 18  10     -18.45      13.83
 18  11      30.92      34.87
 18  12      19.87      34.15
 18  13    -141.91     -35.15
 18  14      -9.26     -53.31
 18  15       1.83    -183.40
 18  16      -9.72      43.08
 18  17      94.97    -129.82
 18  18     -30.37      -6.78
 19   0    -121.35       0.00
 19   1     -81.58       7.03
 19   2       5.44      29.70
 19   3      13.17     -40.21
 19   4       8.14     -15.89
 19   5     -44.11      -0.86
 19   6     -19.76       6.56
 19   7      14.25     -22.26
 19   8       3.51      32.36
 19   9      46.41      50.53
 19  10       1.95     -10.79
 19  11     -11.42      66.50
 19  12       2.10      49.62
 19  13     -98.56      22.78
 19  14     -83.81      46.31
 19  15      -8.02     -82.95
 19  16     -16.35     123.14
 19  17     -73.36     -39.51
 19  18     -75.10      80.93
 19  19       4.89       5.43
 20   0     -56.84       0.00
 20   1      15.24      42.59
 20   2      -2.31      -0.76
 20   3      -5.74     -18.41
 20   4     -12.68      14.54
 20   5     -17.73      22.25
 20   6     -23.29     -14.59
 20   7      38.90     -66.34
 20   8     -29.31      -7.29
 20   9       3.10      35.41
 20  10      18.21      -2.68
 20  11      25.84      19.36
 20  12     -25.61     -33.21
 20  13     -17.21      18.22
 20  14     -58.84     -37.47
 20  15       0.03      -0.42
 20  16      -8.71      10.57
 20  17      96.81     -32.31
 20  18      41.81      68.88
 20  19      -4.42      32.38
 20  20      -2.05     -22.00
 21   0     -20.76       0.00
 21   1    -109.75      20.95
 21   2     -13.95      -7.14
 21   3      -3.82     -43.10
 21   4     -12.31       4.23
 21   5     -34.36     -10.38
 21   6      13.78     -18.31
 21   7     -13.71     -35.30
 21   8     -24.53     -26.85
 21   9     -28.76     -41.15
 21  10      54.36      21.81
 21  11      50.07     -34.41
 21  12      -8.80      -6.72
 21  13      65.94       8.63
 21  14     -17.72      -2.94
 21  15     -12.89      23.49
 21  16      70.88     -15.00
 21  17      21.20      33.08
 21  18    -101.82      67.45
 21  19      40.23      -3.50
 21  20     -30.30      10.27
 21  21      11.59      36.52
 22   0      11.23       0.00
 22   1      11.77      32.04
 22   2       4.99       3.24
 22   3     -23.55     -24.16
 22   4     -45.10      43.76
 22   5      17.19     -26.20
 22   6      12.57     -14.20
 22   7     -17.20      49.64
 22   8      -5.58      -6.58
 22   9     -24.43     -33.22
 22  10       8.07       9.68
 22  11     -18.88      -4.91
 22  12       5.21     -30.81
 22  13      55.11       1.69
 22  14       8.18      21.15
 22  15      -2.27     -14.29
 22  16      31.43     -74.56
 22  17       8.09      -3.18
 22  18      16.64      37.15
 22  19      12.93     -35.21
 22  20     -79.50     -48.41
 22  21       5.69      -3.94
 22  22     -36.21      -4.11
 23   0     107.82       0.00
 23   1     -88.36       1.04
 23   2     -20.81      13.68
 23   3      13.01     -15.64
 23   4     -21.46     -14.78
 23   5     -21.63     -23.95
 23   6     -14.84     -13.35
 23   7      -5.29      13.97
 23   8      12.22      30.79
 23   9       4.46     -17.61
 23  10     -37.44       2.27
 23  11     -18.38      36.79
 23  12      11.16      -7.35
 23  13      -5.48      16.26
 23  14      31.06      -5.71
 23  15     -14.03     -59.52
 23  16      25.85     -10.89
 23  17      44.88      74.57
 23  18     -42.75      -1.92
 23  19       8.66     -12.55
 23  20     -24.33      -7.02
 23  21      65.70      30.05
 23  22     -47.10      17.07
 23  23       6.85       8.43
 24   0      75.61       0.00
 24   1       5.95      29.85
 24   2      -1.93      17.15
 24   3       1.97      -5.96
 24   4     -38.11      15.04
 24   5     -30.25       6.64
 24   6     -26.32     -27.08
 24   7       9.95      -5.99
 24   8      19.32      28.78
 24   9      26.27       6.34
 24  10      -0.83      10.76
 24  11      17.44      -6.85
 24  12      13.76      42.86
 24  13     -15.49      -3.97
 24  14     -17.47      14.17
 24  15      15.57     -28.13
 24  16     -17.59      26.09
 24  17       7.68      25.65
 24  18     -71.01       0.70
 24  19     -23.70      10.58
 24  20     -53.14     -59.16
 24  21      36.30      19.50
 24  22     -70.21      17.44
 24  23      26.69      23.06
 24  24      34.37      41.82
 25   0     221.35       0.00
 25   1     -59.97       2.10
 25   2     -38.26       5.29
 25   3      -2.74       0.69
 25   4       3.40      -7.74
 25   5     -54.37     -19.94
 25   6      -1.67     -20.71
 25   7       4.29     -24.33
 25   8      -0.96       3.68
 25   9      12.52       0.77
 25  10      13.33       7.40
 25  11      -1.08      11.56
 25  12       9.81      35.05
 25  13     -15.27     -21.22
 25  14      -8.52      14.49
 25  15      12.15      12.97
 25  16     -22.04      38.50
 25  17     -13.97       2.43
 25  18     -38.07       0.64
 25  19     -15.24     -19.38
 25  20     -22.55     -43.25
 25  21      39.36      -0.74
 25  22     -83.82     -13.49
 25  23      -8.24      22.09
 25  24     -26.32      44.81
 25  25       1.01      -7.28
 26   0     140.10       0.00
 26   1       4.30      16.27
 26   2      -7.80      18.85
 26   3       9.86       9.43
 26   4     -21.23      31.13
 26   5      -8.69      -5.11
 26   6     -13.65     -28.81
 26   7      13.23      -6.04
 26   8      -6.82      -5.29
 26   9      -2.78       4.39
 26  10       4.74      17.71
 26  11      13.97       2.66
 26  12       2.01      -2.92
 26  13      -3.64       1.60
 26  14      -4.93     -19.53
 26  15       9.06      42.38
 26  16      13.22       3.77
 26  17      23.11      -0.91
 26  18       8.45      11.98
 26  19     -27.21      -1.19
 26  20      27.64     -34.33
 26  21      51.72     -18.40
 26  22     -19.76      15.42
 26  23      50.49      28.88
 26  24      72.35      69.31
 26  25      57.71     -25.00
 26  26       0.03     -17.84
 27   0     311.20       0.00
 27   1       1.84      -7.45
 27   2     -39.82       6.95
 27   3      -2.77      30.47
 27   4      -9.72      -4.06
 27   5     -38.81     -23.85
 27   6      -9.33     -24.38
 27   7      -2.06     -11.24
 27   8      -2.98       6.18
 27   9      -8.52     -16.66
 27  10       0.14       7.37
 27  11      15.24       5.43
 27  12     -11.10     -11.42
 27  13      10.71      10.64
 27  14      -6.58       1.38
 27  15     -17.93      17.74
 27  16      14.34     -15.22
 27  17     -12.39      -8.18
 27  18     -13.39      21.29
 27  19      -7.00      -3.26
 27  20     -14.56     -31.85
 27  21     -12.01     -18.60
 27  22      25.08     -10.28
 27  23     -11.61      17.37
 27  24     -12.81      50.68
 27  25      -9.92     -11.28
 27  26      28.95      13.11
 27  27      10.97      13.28
 28   0     175.34       0.00
 28   1      -4.75     -12.19
 28   2     -10.33      23.42
 28   3      22.41      27.20
 28   4     -15.26      14.51
 28   5     -18.12      -2.91
 28   6     -20.24     -37.56
 28   7       6.83       7.32
 28   8      11.99      13.33
 28   9       4.95      -3.33
 28  10       0.26      14.13
 28  11      -3.23      -1.19
 28  12       0.98       8.16
 28  13     -12.32      -2.36
 28  14      -6.36       1.73
 28  15      -2.91     -16.16
 28  16      -4.19     -12.43
