Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT1748:180
Coefficients for 360 degrees 
  Beginning: CT1747:000  1984:04:26_19h:33m:28s. 
  Centered:  CT1748:180  1984:05:10_10h:51m:39s. 
  End time:  CT1748:005  1984:05:23_17h:04m:20s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

  0   0       4.49       0.00
  1   0    -211.17       0.00
  1   1     -57.86     -51.39
  2   0      61.04       0.00
  2   1      23.19      14.96
  2   2      -4.34     -52.75
  3   0    -216.46       0.00
  3   1      43.84      70.82
  3   2      99.26     -36.37
  3   3    -151.02      48.37
  4   0     -30.38       0.00
  4   1     -18.74     -34.36
  4   2     -20.07      33.95
  4   3      97.73      72.08
  4   4    -137.11     -44.14
  5   0     -91.01       0.00
  5   1      -9.94     -44.90
  5   2    -135.72      17.49
  5   3     151.80      42.88
  5   4     108.23      42.37
  5   5    -310.01      16.06
  6   0      20.69       0.00
  6   1       3.26      -3.98
  6   2      70.92      19.93
  6   3    -104.77     -82.18
  6   4    -110.57      62.73
  6   5     113.72    -120.27
  6   6     -73.61      48.37
  7   0     -28.31       0.00
  7   1     -40.58     -85.36
  7   2     108.32      30.24
  7   3     -90.81     -79.77
  7   4    -140.81     -18.76
  7   5      97.11     -42.62
  7   6     127.63    -134.66
  7   7    -112.37     222.96
  8   0      21.38       0.00
  8   1     -62.34      -3.53
  8   2    -107.76     -74.86
  8   3      58.63      18.65
  8   4     220.10     -23.84
  8   5    -127.16      60.95
  8   6     132.72     100.51
  8   7      54.50      38.55
  8   8    -114.61    -218.71
  9   0      90.47       0.00
  9   1      41.31      19.66
  9   2     -32.27     -84.36
  9   3     -16.71      82.70
  9   4     127.98     -29.68
  9   5       5.21      42.94
  9   6    -139.20     129.00
  9   7       6.67     -70.58
  9   8     142.45     -72.56
  9   9      15.90     177.93
 10   0     -60.30       0.00
 10   1      55.50     -21.12
 10   2      41.88      72.10
 10   3     -20.39      51.40
 10   4    -199.77     -15.60
 10   5      85.47      29.11
 10   6     -62.76    -198.00
 10   7      10.13     -13.07
 10   8      52.15     127.35
 10   9     143.91      15.01
 10  10    -217.74      32.80
 11   0     173.96       0.00
 11   1     -46.16     -45.43
 11   2     -43.23      99.51
 11   3      51.48     -38.07
 11   4    -141.71      19.78
 11   5     -54.19     -10.36
 11   6     144.87    -115.08
 11   7      46.17     -11.86
 11   8     -95.03      33.74
 11   9      25.04     -30.11
 11  10    -154.53    -142.14
 11  11     217.64      15.59
 12   0      24.14       0.00
 12   1     -55.56      16.71
 12   2     -58.11     -63.31
 12   3     -51.17     -41.41
 12   4     116.61     -34.43
 12   5      18.80     -92.33
 12   6     -26.25     219.15
 12   7      -0.72      -4.11
 12   8      -4.27     -37.27
 12   9    -157.27     -98.88
 12  10     146.97      43.37
 12  11      63.17    -166.63
 12  12    -144.68     245.45
 13   0     229.20       0.00
 13   1      25.66       9.26
 13   2      76.63     -80.61
 13   3    -122.61       4.40
 13   4      51.52       7.86
 13   5      73.27     -21.15
 13   6     -93.97      64.51
 13   7     -68.22      46.31
 13   8      33.03       7.57
 13   9       9.72      -6.05
 13  10      88.65     109.67
 13  11    -113.77      31.59
 13  12    -117.75     -44.08
 13  13     299.30     -73.59
 14   0     -69.23       0.00
 14   1      17.03     -24.51
 14   2      24.76       7.24
 14   3      83.80      59.64
 14   4     -58.11      35.25
 14   5     -74.73     105.32
 14   6      66.48    -115.12
 14   7     -32.01     -36.06
 14   8      12.18     -19.84
 14   9      81.37      91.81
 14  10     -57.78     -78.38
 14  11    -101.08      80.51
 14  12      97.43     -52.81
 14  13    -180.08    -102.42
 14  14      54.09     168.55
 15   0     334.57       0.00
 15   1      -0.85      -7.82
 15   2     -64.78      37.30
 15   3      61.97      27.37
 15   4     -49.56     -57.54
 15   5    -102.76      34.42
 15   6      31.86      -9.31
 15   7      34.00     -38.58
 15   8      12.19      -5.59
 15   9     -55.47      -0.07
 15  10     -34.27     -65.67
 15  11      48.95     -27.03
 15  12     127.18      -4.02
 15  13       1.93     110.95
 15  14    -183.41     118.96
 15  15      -1.31    -258.66
 16   0      -8.02       0.00
 16   1      16.24      22.78
 16   2     -57.20      22.51
 16   3    -111.05      -6.53
 16   4     -20.50     -52.27
 16   5      87.15     -86.75
 16   6     -44.32      42.89
 16   7      27.42      46.05
 16   8       9.53      41.61
 16   9     -12.90     -64.25
 16  10     -16.91      56.46
 16  11      96.52       6.47
 16  12     -78.55     -11.86
 16  13      52.86     127.14
 16  14      70.84     -83.29
 16  15      28.65      32.36
 16  16     -10.15       7.15
 17   0     268.54       0.00
 17   1     -17.14      36.50
 17   2      36.66       0.39
 17   3     -74.61     -32.23
 17   4     -42.77      39.17
 17   5      61.97     -59.49
 17   6      18.17     -44.80
 17   7      -2.45      14.20
 17   8       3.08     -16.31
 17   9      38.44       0.92
