Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT1888:180
Coefficients for 360 degrees 
  Beginning: CT1887:000  1994:10:10_08h:25m:53s. 
  Centered:  CT1888:180  1994:10:23_23h:44m:04s. 
  End time:  CT1888:005  1994:11:06_05h:56m:45s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

  0   0      -3.24       0.00
  1   0     170.93       0.00
  1   1     -22.87       5.17
  2   0     -24.57       0.00
  2   1      34.31      -3.18
  2   2     -41.27      11.60
  3   0     227.41       0.00
  3   1      13.44     -19.45
  3   2      -8.52      17.17
  3   3      17.37     -29.88
  4   0     -12.48       0.00
  4   1     -33.55       4.66
  4   2       6.99       0.10
  4   3      19.93       5.32
  4   4     -62.54     -25.56
  5   0     127.07       0.00
  5   1     -10.77     -55.21
  5   2      -8.38     -14.23
  5   3      -1.60       1.69
  5   4     -36.24      -5.47
  5   5     -35.47       6.04
  6   0      -4.26       0.00
  6   1      47.53      15.98
  6   2       5.14      15.79
  6   3     -35.29       6.28
  6   4      26.63      -9.90
  6   5      30.42      11.51
  6   6      66.46      42.53
  7   0       7.91       0.00
  7   1     -53.34     -25.81
  7   2      19.45      27.88
  7   3      -0.48     -10.55
  7   4      31.27      10.29
  7   5      -7.55     -21.52
  7   6      18.68     -13.68
  7   7    -103.44      -1.80
  8   0       9.74       0.00
  8   1      14.02      14.88
  8   2     -22.58     -18.72
  8   3      -7.67      15.51
  8   4      23.03      49.64
  8   5     -14.23      -1.45
  8   6      -3.15      -0.01
  8   7      21.36      24.05
  8   8     -84.84     138.83
  9   0     -96.33       0.00
  9   1      33.93      -2.00
  9   2     -23.48      10.06
  9   3      11.07       9.70
  9   4     -40.34     -17.83
  9   5      26.99      42.16
  9   6     -21.81      19.73
  9   7      53.65     -22.82
  9   8     -71.70      68.31
  9   9      62.31     -62.93
 10   0      14.45       0.00
 10   1       3.62       5.78
 10   2       6.76     -16.15
 10   3     -11.53      15.91
 10   4     -40.13     -53.61
 10   5      12.86     -22.55
 10   6     -35.17     -14.68
 10   7      -7.64     -31.62
 10   8       1.95     -42.64
 10   9      59.52      50.72
 10  10     146.12    -145.18
 11   0    -138.29       0.00
 11   1     -27.49     -59.89
 11   2      -0.89     -17.66
 11   3     -14.85     -22.28
 11   4      37.84      12.18
 11   5     -38.32     -29.06
 11   6       5.83     -42.00
 11   7     -18.32      15.04
 11   8      36.95     -62.36
 11   9     -33.47     -12.77
 11  10     -61.36     -83.85
 11  11     -77.18      51.62
 12   0      -2.51       0.00
 12   1      20.64       1.62
 12   2     -26.16       6.03
 12   3     -40.34     -14.50
 12   4      32.70      49.41
 12   5     -13.26      15.68
 12   6      50.05      14.93
 12   7     -35.93       9.60
 12   8      71.84       6.14
 12   9     -50.21     -39.97
 12  10      39.21      -0.34
 12  11     -27.17      -4.17
 12  12       8.85     118.40
 13   0    -275.99       0.00
 13   1      -3.80      20.55
 13   2      -7.74      44.48
 13   3       7.54     -12.74
 13   4     -30.30       4.25
 13   5       9.56      25.84
 13   6      22.95      39.68
 13   7      15.96       3.70
 13   8      -2.78      47.18
 13   9       5.89      35.58
 13  10      43.10      65.74
 13  11      30.78      -6.21
 13  12      20.67     187.12
 13  13     -42.93     -18.19
 14   0      32.08       0.00
 14   1     -16.89       8.08
 14   2       2.57     -22.38
 14   3       1.39      17.58
 14   4     -25.34     -22.21
 14   5      29.33     -17.98
 14   6     -51.49      -3.90
 14   7      34.35     -23.61
 14   8     -92.97       6.05
 14   9      66.22      18.67
 14  10     -69.08      59.13
 14  11      28.26       3.87
 14  12       7.95      37.45
 14  13       4.31      36.24
