Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT1665:180
Coefficients for 360 degrees 
  Beginning: CT1664:000  1978:02:13_23h:14m:24s. 
  Centered:  CT1665:180  1978:02:27_14h:32m:35s. 
  End time:  CT1665:005  1978:03:12_20h:45m:16s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

  0   0     -11.56       0.00
  1   0     115.51       0.00
  1   1      -6.13       5.56
  2   0     -38.05       0.00
  2   1     -32.21     -46.20
  2   2     -77.83    -119.69
  3   0     279.29       0.00
  3   1      36.37       5.78
  3   2     -42.29     -28.40
  3   3      -6.35      24.23
  4   0     -18.29       0.00
  4   1      50.55     -23.29
  4   2     -35.76     -76.93
  4   3     -28.37      43.40
  4   4      48.38     -75.10
  5   0     208.05       0.00
  5   1     -16.64    -106.58
  5   2      90.24      90.37
  5   3      73.25      64.49
  5   4     146.80     -10.56
  5   5     -53.58     -14.45
  6   0     -81.40       0.00
  6   1      52.73     -32.45
  6   2      72.27     189.66
  6   3      13.24     -17.17
  6   4     -43.62     -35.11
  6   5     -26.63      78.55
  6   6    -115.60     -56.20
  7   0     -71.23       0.00
  7   1      67.02    -116.98
  7   2     -59.13      19.30
  7   3     -14.63     -67.35
  7   4     -34.82      26.64
  7   5     -77.64      80.09
  7   6    -155.51     -78.65
  7   7      -6.17    -106.29
  8   0      46.09       0.00
  8   1      39.91    -113.27
  8   2     -38.20     -58.61
  8   3     -43.10     -43.88
  8   4     -78.31      70.76
  8   5     -64.63     152.30
  8   6    -105.95      29.21
  8   7     111.32    -293.01
  8   8     232.32     -59.70
  9   0     -75.68       0.00
  9   1      -0.64      20.38
  9   2      -2.35     -31.05
  9   3     -97.89      76.45
  9   4     -96.00     -32.88
  9   5     122.97      10.81
  9   6      54.81       8.30
  9   7     -70.01    -164.95
  9   8     310.56    -117.42
  9   9      75.52      -7.21
 10   0      67.08       0.00
 10   1      60.30     -42.02
 10   2      18.36       5.15
 10   3     -19.61      78.90
 10   4     151.48     -24.93
 10   5      99.51    -127.78
 10   6     121.39      40.60
 10   7    -110.92     -58.32
 10   8      65.13     -11.00
 10   9     232.11     -66.39
 10  10      11.64     302.22
 11   0    -142.17       0.00
 11   1     -44.69       9.80
 11   2      -0.36     113.62
 11   3      58.96      25.63
 11   4     127.13       8.32
 11   5     -51.85     -84.27
 11   6       3.63      59.19
 11   7      16.73     126.86
 11   8     -96.64     -83.83
 11   9     124.41     -25.45
 11  10     137.43     378.55
 11  11      19.99      54.69
 12   0     -51.17       0.00
 12   1      16.35     -20.98
 12   2      46.27      77.24
 12   3     -28.58     -20.16
 12   4      -3.93      17.42
 12   5     -46.15       5.73
 12   6      34.25     -62.73
 12   7      53.08     119.91
 12   8    -211.72      36.17
 12   9      62.49     -32.45
 12  10      56.61     325.96
 12  11      47.37       5.15
 12  12     -84.80     -97.94
 13   0    -277.14       0.00
 13   1      86.62     -95.60
 13   2     -26.99      47.21
 13   3     -82.08      -2.55
 13   4      38.01      13.04
 13   5     -36.16      27.46
 13   6     -28.72     -31.56
 13   7      85.19      37.12
 13   8     -43.88      66.82
 13   9     -18.74      14.45
 13  10     120.47     -58.44
 13  11      24.56     -15.59
 13  12     -98.75    -182.95
 13  13     -70.36     112.45
 14   0     127.86       0.00
 14   1     -12.30       2.83
 14   2     -27.50     -17.91
 14   3     -30.99     -13.85
 14   4      29.36       6.51
 14   5     -32.09       6.69
 14   6     -91.93      25.32
 14   7      20.56     -28.52
 14   8      80.42     -43.00
 14   9    -122.18      85.27
 14  10      21.07     -96.27
 14  11       6.95     -63.79
 14  12    -130.80     -88.01
 14  13      13.06     144.12
 14  14      84.83      70.35
 15   0    -306.85       0.00
 15   1     -32.75      18.57
 15   2       1.76     -25.52
 15   3       5.30      39.46
 15   4     -36.64     -12.03
