Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT2118:180
Coefficients for 360 degrees 
  Beginning: CT2117:000  2011:12:13_15h:52m:00s. 
  Centered:  CT2118:180  2011:12:27_07h:10m:11s. 
  End time:  CT2118:005  2012:01:09_13h:22m:52s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

  0   0      -1.93       0.00
  1   0     -26.84       0.00
  1   1     -40.29     -11.20
  2   0      68.66       0.00
  2   1       1.46     -23.52
  2   2      39.87      -9.19
  3   0     -90.03       0.00
  3   1     -19.79      -4.18
  3   2     -37.81      20.68
  3   3      62.75      92.19
  4   0      29.14       0.00
  4   1       2.11     -17.93
  4   2      13.40       7.26
  4   3     -45.17      11.81
  4   4      87.41      61.39
  5   0    -105.21       0.00
  5   1      36.48       1.78
  5   2      54.09     -43.08
  5   3      15.59      69.00
  5   4     -47.31      15.93
  5   5       8.99     -98.10
  6   0      12.33       0.00
  6   1     -38.89      49.68
  6   2     -38.59       5.58
  6   3     -10.99     -17.02
  6   4      44.27      72.23
  6   5     -46.61    -153.76
  6   6       5.12    -242.22
  7   0      57.90       0.00
  7   1      -0.82     -38.84
  7   2     -16.72       8.77
  7   3     -46.83    -138.80
  7   4      -7.33     -75.47
  7   5      32.04     -50.53
  7   6      80.77    -106.14
  7   7     -60.53    -271.08
  8   0      -0.20       0.00
  8   1       9.05     -18.55
  8   2      44.84     -17.70
  8   3      49.99     -46.85
  8   4     -86.42    -147.05
  8   5      92.18      61.05
  8   6     -27.80    -154.77
  8   7     -22.76     -25.36
  8   8      84.17      33.98
  9   0     -16.84       0.00
  9   1      -1.91     -27.68
  9   2     -48.20      42.32
  9   3      24.60      71.72
  9   4      19.27      55.99
  9   5     -70.71      76.97
  9   6       6.31     110.30
  9   7     -14.04     -23.51
  9   8     -56.06      19.24
  9   9     139.55     127.29
 10   0     -21.98       0.00
 10   1     -22.36     -27.76
 10   2     -53.39      -2.05
 10   3     -73.10      79.48
 10   4      47.02      76.79
 10   5    -117.26       6.32
 10   6      57.42     138.97
 10   7     -42.55      93.54
 10   8      10.26      90.30
 10   9      94.75     125.89
 10  10      63.99      78.80
 11   0      84.90       0.00
 11   1      15.04      31.25
 11   2      43.35      -7.83
 11   3       1.26      14.50
 11   4     -34.84      -3.71
 11   5      89.38     -42.70
 11   6     -20.56    -136.59
 11   7       8.17      85.71
 11   8     -65.65    -108.47
 11   9      75.96     123.07
 11  10     307.16     -38.93
 11  11     -83.52    -137.42
 12   0     -70.15       0.00
 12   1      -1.50      60.16
 12   2      -4.40       3.59
 12   3      42.64     -52.63
 12   4      -0.00      19.07
 12   5      88.62     -12.67
 12   6     -93.81      -5.27
 12   7      45.89    -137.05
 12   8     -98.22       1.00
 12   9      19.33     -33.52
 12  10     -38.52      44.38
 12  11      -4.19     -39.25
 12  12       3.88      25.62
 13   0      88.63       0.00
 13   1      -3.21     -34.48
 13   2     -35.00       7.64
 13   3     -44.72     -22.53
 13   4      33.94     -11.99
 13   5     -67.49       9.88
 13   6     -71.64     102.50
 13   7     -13.74     -66.09
 13   8      12.29       7.94
 13   9     -66.85     -68.75
 13  10      79.50     -32.68
 13  11     -67.83      46.04
 13  12    -136.36     177.13
 13  13      37.76     -29.04
 14   0     -21.16       0.00
 14   1      -3.84     -41.08
 14   2      15.46     -25.51
 14   3      -6.49      43.14
 14   4     -24.91     -66.37
