Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT2140:180
Coefficients for 360 degrees 
  Beginning: CT2139:000  2013:08:04_17h:12m:14s. 
  Centered:  CT2140:180  2013:08:18_08h:30m:25s. 
  End time:  CT2140:005  2013:08:31_14h:43m:06s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

  0   0      -3.44       0.00
  1   0      17.84       0.00
  1   1      22.67      14.09
  2   0     -10.20       0.00
  2   1      18.55      15.69
  2   2      15.64     -26.64
  3   0      25.70       0.00
  3   1      35.66     -29.59
  3   2      -2.77     -33.41
  3   3     -86.50     105.89
  4   0      28.85       0.00
  4   1     -13.16     -27.66
  4   2     -25.32       0.69
  4   3    -122.53     -87.65
  4   4       0.21     -54.17
  5   0     -38.20       0.00
  5   1     -54.60     -45.51
  5   2     -32.65      63.00
  5   3      55.34      11.96
  5   4      17.82     -32.02
  5   5    -121.01     101.51
  6   0      35.96       0.00
  6   1     -33.94      37.51
  6   2      19.70      18.88
  6   3      62.10     105.97
  6   4     -56.90      18.63
  6   5       3.69      17.45
  6   6      72.08      60.57
  7   0      51.82       0.00
  7   1       6.62     -31.50
  7   2      41.44     -98.38
  7   3      15.07     -88.89
  7   4      33.00     -24.84
  7   5      57.91     -24.49
  7   6      54.73      42.24
  7   7     -87.03     138.92
  8   0     -61.12       0.00
  8   1       2.68      34.22
  8   2      23.63      24.10
  8   3      43.63     -33.43
  8   4      48.91      31.96
  8   5     -58.84      33.64
  8   6     -36.98      30.52
  8   7      40.98      66.02
  8   8      43.06     153.10
  9   0     -41.76       0.00
  9   1      21.01      17.74
  9   2     -38.27       8.64
  9   3     -86.03      32.35
  9   4     -35.21       9.91
  9   5      12.21     -23.95
  9   6     -21.62     -73.93
  9   7      62.48      77.85
  9   8      32.53     188.78
  9   9     -55.92      55.61
 10   0      58.87       0.00
 10   1      -3.41      10.14
 10   2     -51.75     -24.79
 10   3      -0.48      14.86
 10   4      15.95     -26.68
 10   5      32.14     -80.51
 10   6     -21.78     -82.30
 10   7     -69.48     -25.82
 10   8     -30.32     -80.95
 10   9     235.85      30.36
 10  10      62.68      86.11
 11   0       5.34       0.00
 11   1     -27.77     -42.51
 11   2       6.05      -6.03
 11   3      36.14     -28.97
 11   4      -6.46      34.87
 11   5     -65.36      33.16
 11   6      11.88      60.16
 11   7       2.29     -87.88
 11   8      23.12     -49.07
 11   9     -39.01     129.73
 11  10     174.70      13.20
 11  11      57.04      -2.24
 12   0     -62.53       0.00
 12   1       1.29       7.21
 12   2      59.28      84.81
 12   3      64.75      27.08
 12   4      -7.02     -66.89
 12   5     -25.00      34.82
 12   6      32.70      88.07
 12   7      43.42       0.41
 12   8      -2.00     -69.53
 12   9     -82.34    -151.89
 12  10      96.20      15.77
 12  11      96.84     173.78
 12  12     -21.46     -11.62
 13   0     -11.84       0.00
 13   1      13.62       7.26
 13   2       9.59     -41.86
 13   3     -67.64     -25.59
 13   4     -10.78      62.92
 13   5      62.05     -36.81
 13   6       7.48     -12.38
 13   7     -48.03      37.69
 13   8     -13.39     -19.45
 13   9     -24.86     -38.20
 13  10      -9.85     -38.18
 13  11     -39.80       3.38
 13  12      45.23     -42.74
 13  13      -8.92     -99.42
 14   0      15.60       0.00
 14   1     -17.30       4.48
 14   2     -26.74     -20.89
 14   3      24.98       4.79
 14   4      40.06      -1.14
 14   5      18.87      20.97
 14   6      -2.73     -60.26
 14   7     -11.94       1.97
 14   8       8.45     143.37
 14   9      -9.48      78.51
 14  10     -36.34     -65.94
 14  11      36.20     -65.43
 14  12      30.50      85.48
 14  13     -11.99      51.87
 14  14     -49.43    -109.63
 15   0     -35.58       0.00
 15   1      -1.96      -3.49
 15   2     -21.59      10.40
 15   3     -25.86     -27.67
 15   4     -39.83      -7.66
 15   5     -38.02      14.99
 15   6     -31.17     -32.92
 15   7      34.53     -10.46
 15   8      13.84      19.59
 15   9      74.14     -11.62
 15  10     -47.40       7.63
 15  11     -90.14       9.14
 15  12     -25.70     -87.95
 15  13     -86.58     -69.50
 15  14     -25.92      -7.64
 15  15      29.68       3.16
 16   0     -17.87       0.00
 16   1      13.47     -14.60
 16   2      -1.01      15.52
 16   3      54.17      35.61
 16   4      20.07     -42.96
 16   5      -4.50     -40.26
 16   6       3.08      17.12
 16   7     -15.51     -12.85
 16   8      12.76     -69.54
 16   9       5.98      14.90
 16  10     -18.80      38.55
 16  11     -25.71     -15.84
 16  12     -48.35     -12.33
 16  13     -20.65     -12.81
 16  14      56.71      -6.54
 16  15    -124.49     -36.81
 16  16    -100.84     -50.24
 17   0      -0.91       0.00
 17   1      -6.26       9.36
 17   2       4.29     -49.18
 17   3     -21.48     -13.13
 17   4      -6.09      80.92
 17   5     -14.87      -7.75
 17   6      11.22      24.84
 17   7      -2.60       6.59
 17   8      -1.56      -9.05
 17   9     -16.64       5.54
 17  10      78.91      36.73
 17  11      80.92       7.05
 17  12      12.39       5.01
 17  13      73.60      81.37
 17  14       4.87     -16.66
 17  15     -51.17      -5.17
 17  16     -79.64      33.62
 17  17    -110.00     -35.65
 18   0     -25.56       0.00
 18   1       9.69     -20.76
 18   2      21.42      24.49
 18   3      37.70      -0.74
 18   4      16.42     -47.74
 18   5       8.15      21.95
 18   6      23.30      19.56
 18   7       9.43       2.04
 18   8      -2.69     -26.44
 18   9     -14.67     -24.90
 18  10      18.89      -4.50
 18  11       5.84      19.91
 18  12      37.98     -15.24
 18  13     -57.54     -19.57
 18  14     -56.88      44.74
 18  15      11.08      13.57
 18  16     -26.08      32.39
 18  17     -73.20     -31.88
 18  18      32.03      -0.22
 19   0     -26.06       0.00
 19   1      17.34      43.48
 19   2       8.68      22.96
 19   3     -61.05     -29.41
 19   4     -44.18      34.79
 19   5      23.55      -9.97
 19   6     -18.03      -0.43
 19   7     -18.31       0.96
 19   8      10.00      12.18
 19   9     -32.12      15.39
 19  10     -71.01     -27.64
 19  11       3.50      12.51
 19  12     -20.37      53.59
 19  13     -41.72     -29.15
 19  14      39.09      24.69
 19  15      28.09      30.44
 19  16      -1.12      29.13
 19  17     -86.14     -73.16
 19  18    -174.01     -64.70
 19  19    -179.58       1.69
 20   0      18.57       0.00
 20   1      14.46     -23.65
 20   2     -16.96     -14.14
 20   3      53.01      30.26
 20   4      36.58     -53.93
 20   5       2.98       4.11
 20   6      -4.81     -28.34
 20   7       0.06      -5.11
 20   8      10.38      55.03
 20   9      14.63       7.80
 20  10     -15.92     -22.77
 20  11      -3.12     -16.08
 20  12      -0.52      -2.54
 20  13      84.37      20.45
 20  14      27.16     -18.43
 20  15      -3.83     -23.50
 20  16      73.39      -4.15
 20  17      -7.47      31.26
 20  18     -25.98      17.80
 20  19      78.93      -0.99
 20  20     -39.91      22.73
 21   0      -1.78       0.00
 21   1      -2.26      31.92
 21   2     -17.83      -6.71
 21   3      -4.75     -28.79
 21   4     -27.76      70.47
 21   5     -36.88       7.29
 21   6     -13.25     -21.82
 21   7      19.44     -13.02
 21   8     -15.64       5.83
 21   9      23.26     -10.96
 21  10      43.01       3.27
 21  11     -47.35      -7.58
 21  12      10.04     -15.90
 21  13       7.81       6.57
 21  14     -57.36     -21.64
 21  15      -0.67     -12.49
 21  16       7.85       3.76
 21  17      63.38      27.47
 21  18      17.03      -6.08
 21  19    -101.55     -30.05
 21  20     -74.16      32.36
 21  21     -49.64     -11.81
 22   0     -13.08       0.00
 22   1      14.59     -32.56
 22   2       4.98      -5.31
 22   3      33.14      12.61
 22   4      33.66     -51.30
 22   5      12.01      -5.36
 22   6      16.44      22.81
 22   7      -6.57      -8.49
 22   8      -0.78     -38.73
 22   9       0.73      30.17
 22  10      24.13      24.70
 22  11      10.34       9.62
 22  12     -17.49       1.81
 22  13     -60.97     -20.26
 22  14      -8.85     -16.03
 22  15       9.96      10.78
 22  16      -8.53      -0.19
 22  17      28.65      16.17
 22  18      38.09      -0.30
 22  19     -15.08      19.68
 22  20    -100.62       6.66
 22  21     -21.84      11.59
 22  22     -28.97      21.81
 23   0       6.05       0.00
 23   1       0.75      45.08
 23   2      18.16      19.22
 23   3     -33.08      -4.87
 23   4     -34.33      59.26
 23   5       5.51     -15.87
 23   6      -8.96      20.91
 23   7      -9.75      16.24
 23   8       2.68     -11.96
 23   9      -8.52      -2.14
 23  10     -18.16      10.39
 23  11      33.35      -0.57
 23  12      -9.77     -21.19
 23  13       3.59      19.69
 23  14      31.59      13.99
 23  15       0.66      -2.63
 23  16      -2.13     -12.50
 23  17       2.24       1.87
 23  18      35.86      18.23
 23  19      76.28     -35.31
 23  20      34.45      15.29
 23  21     -59.75     -11.14
 23  22     -19.89       5.46
 23  23     -12.89     -39.81
 24   0      24.05       0.00
 24   1      15.63     -24.77
 24   2      -2.27     -29.29
 24   3       9.51       4.65
 24   4      29.41     -58.68
 24   5       7.08       6.26
 24   6      15.73      -8.07
 24   7       6.99       7.06
 24   8       3.05       7.89
 24   9     -13.86     -19.55
 24  10     -18.33     -12.61
 24  11       0.90      14.73
 24  12      12.80       6.78
 24  13      29.40       8.29
 24  14      -9.62      23.18
 24  15      -4.05      -7.73
 24  16     -27.90       1.68
 24  17     -10.07     -12.17
 24  18       6.18       7.32
 24  19     -28.68      -3.69
 24  20       9.70       0.65
 24  21     -14.20     -39.58
 24  22      -2.53     -64.57
 24  23     104.25      22.70
 24  24     -21.74      54.21
 25   0      26.84       0.00
 25   1       4.64      33.28
 25   2      -2.49      33.55
 25   3       5.67      -9.76
 25   4     -36.77      60.27
 25   5     -18.00      -1.18
 25   6     -20.17     -17.10
 25   7       4.67      -8.76
 25   8      -8.58      20.68
 25   9     -11.12      -2.06
 25  10      -6.70     -12.51
 25  11     -13.43       7.27
 25  12       8.49      21.17
 25  13      -9.92     -26.04
 25  14     -18.28      -5.97
 25  15       4.98       7.28
 25  16      -7.92       3.70
 25  17     -32.10      -8.08
 25  18     -23.55     -16.84
 25  19      -2.66      -7.24
 25  20      24.10      -2.12
 25  21      26.93      11.19
 25  22     -17.85      33.87
 25  23     -56.13      16.04
 25  24      31.57     -11.14
 25  25      35.53     -57.30
 26   0      16.98       0.00
 26   1       7.58      -6.39
 26   2      -8.48     -29.19
 26   3      -9.10      -1.51
 26   4      32.06     -48.38
 26   5      11.33       3.08
 26   6      11.15       2.40
 26   7      -3.65     -12.95
 26   8       3.26       1.62
 26   9      19.31      23.70
 26  10      15.51       0.23
 26  11      -3.86     -12.08
 26  12      -8.68      -3.84
 26  13     -12.31      -4.55
 26  14      16.97     -14.47
 26  15      11.88       3.07
 26  16      22.13      -2.08
 26  17      -5.62     -11.17
 26  18     -20.41      -3.91
 26  19      30.10      -1.43
 26  20       2.56      -3.76
 26  21      -5.02     -24.49
 26  22     -28.43       7.62
 26  23      72.31     -43.15
 26  24      24.45     -19.09
 26  25      19.87      11.87
 26  26      -7.95     -23.60
 27   0      37.34       0.00
 27   1      -3.57      11.73
 27   2      10.65      35.51
 27   3      25.41      19.14
 27   4     -19.51      42.82
 27   5     -11.97      -8.90
 27   6     -21.38       4.39
 27   7       0.43       0.12
 27   8      -4.35      -4.67
 27   9       3.50       1.08
 27  10      10.74       1.88
 27  11      -0.93     -12.51
 27  12      -9.16      -9.96
 27  13       5.56      14.29
 27  14       4.48      -2.05
 27  15       1.47      -2.10
 27  16      11.53      -7.00
 27  17      29.22      16.70
 27  18      -9.03       5.28
 27  19     -43.57      15.67
 27  20       2.07       9.23
 27  21       8.48       1.14
 27  22      26.83     -20.11
 27  23      10.44       6.49
 27  24     -10.05      15.06
 27  25      12.55     -10.98
 27  26      42.22     -44.50
 27  27      13.41       4.87
 28   0      21.16       0.00
 28   1      -4.01      13.10
 28   2      -3.71     -33.38
 28   3     -50.67     -21.05
 28   4      15.09     -24.47
 28   5       9.74       2.19
 28   6      24.36       4.03
 28   7       3.70       0.57
 28   8       1.29      -9.75
 28   9      -8.71      -2.98
 28  10       4.08       3.63
 28  11       6.85      16.22
 28  12      -0.65       1.34
 28  13       6.91      -0.67
 28  14     -10.73       4.52
 28  15     -15.68      -6.81
 28  16      -1.02       2.93
 28  17      17.58      17.71
 28  18       2.67      -2.72
 28  19     -14.19      -8.83
 28  20      -5.90       5.66
 28  21       8.90       9.89
 28  22       0.51      -2.31
 28  23     -46.05      15.65
 28  24     -10.10      34.74
 28  25      11.21      -9.66
 28  26     -24.41     -44.39
 28  27      35.26     -33.05
 28  28      36.84     -75.96
 29   0      42.42       0.00
 29   1      -4.09     -23.88
 29   2       7.39      36.28
 29   3      47.42      33.18
 29   4      -8.61       9.31
 29   5     -13.29      -7.90
 29   6     -25.97      -5.00
 29   7       2.03       1.00
 29   8      -9.63       4.31
 29   9      -9.79      -6.09
 29  10      -8.17      -2.08
 29  11       1.41       5.67
 29  12       7.32      -1.71
 29  13      -3.06      -6.65
 29  14      -7.06      -1.86
 29  15       0.57       0.47
 29  16     -13.15       4.50
 29  17      -7.14     -11.11
 29  18      29.00       1.27
 29  19      33.27      -5.36
 29  20     -30.52      -2.47
 29  21     -19.10      -3.46
 29  22     -15.11      24.02
 29  23     -14.31      17.33
 29  24       2.25     -29.13
 29  25      11.37       9.67
 29  26       2.79     -19.29
 29  27      19.96     -11.92
 29  28      30.15      44.53
 29  29     -11.59      33.03
