Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT1856:180
Coefficients for 360 degrees 
  Beginning: CT1855:000  1992:05:20_13h:01m:54s. 
  Centered:  CT1856:180  1992:06:03_04h:20m:05s. 
  End time:  CT1856:005  1992:06:16_10h:32m:46s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

  0   0      18.38       0.00
  1   0     168.63       0.00
  1   1       8.39     -10.77
  2   0     -54.26       0.00
  2   1       9.01     -58.22
  2   2       1.41     -59.25
  3   0     221.10       0.00
  3   1    -104.08      39.09
  3   2     -84.46     -14.67
  3   3    -108.34      58.86
  4   0     123.78       0.00
  4   1     -11.96      61.42
  4   2     -25.30      15.52
  4   3     -46.65     -43.85
  4   4    -101.05     102.48
  5   0      75.60       0.00
  5   1     161.95     -29.16
  5   2     123.76      72.97
  5   3       5.87     -20.23
  5   4     -41.71      -0.24
  5   5    -159.44      46.48
  6   0      42.48       0.00
  6   1     -15.87    -159.84
  6   2      -6.45      60.57
  6   3      77.31      75.92
  6   4      70.96     -20.98
  6   5     -70.43     -20.22
  6   6    -120.84     -84.97
  7   0       8.68       0.00
  7   1     -54.70      20.62
  7   2     -50.90     -74.47
  7   3      20.78     -35.87
  7   4      49.35      29.23
  7   5     -36.33      86.22
  7   6      -0.31      72.17
  7   7      58.68     252.86
  8   0      -7.70       0.00
  8   1      37.87     -75.32
  8   2      19.29     -28.82
  8   3     -33.57     -61.70
  8   4      -2.28     -39.08
  8   5     147.82     -16.68
  8   6     -61.20      16.88
  8   7     -63.44     -43.86
  8   8      37.79     122.28
  9   0     -90.19       0.00
  9   1      29.15     -87.95
  9   2      18.25      63.57
  9   3      11.99      53.85
  9   4     -26.93     -45.46
  9   5      62.92    -109.57
  9   6     106.57      10.26
  9   7     113.30      14.61
  9   8     144.17      22.17
  9   9      10.93      22.51
 10   0     -69.93       0.00
 10   1     -98.51      30.08
 10   2     -29.59       6.78
 10   3       3.25     -55.13
 10   4     -45.64      27.39
 10   5    -126.27       8.89
 10   6      50.16    -106.47
 10   7     -37.50      48.26
 10   8      85.51     -10.46
 10   9       6.75      30.48
 10  10     -58.35      62.54
 11   0    -113.66       0.00
 11   1      61.90      65.29
 11   2      26.64      36.68
 11   3      45.02     -47.60
 11   4       6.57      19.46
 11   5       3.19      81.12
 11   6    -124.66      -5.46
 11   7     -77.78     -68.84
 11   8     -24.30      -9.73
 11   9     135.77    -141.72
 11  10      53.97      -7.11
 11  11    -102.44     -67.74
 12   0      -6.71       0.00
 12   1      78.98     -97.81
 12   2      22.91       2.75
 12   3      20.72      51.73
 12   4      21.97     -14.48
 12   5       6.75      12.26
 12   6       9.42      90.09
 12   7      37.80     -50.62
 12   8    -115.33     -90.61
 12   9     -19.97      75.27
 12  10      91.11      -4.86
 12  11     106.67     150.59
 12  12     -88.32      84.03
 13   0    -238.93       0.00
 13   1     -50.36     -42.85
 13   2     -22.77      -6.21
 13   3     -19.78     -73.43
 13   4      17.78     -32.68
 13   5      17.69     -46.25
 13   6      91.53     -36.19
 13   7      -3.13      68.48
 13   8      11.22      60.11
 13   9     -78.19      -6.84
 13  10     -47.11     -91.82
 13  11     -60.63     -76.79
 13  12    -118.56       5.02
 13  13      69.88     -96.49
 14   0     -94.64       0.00
 14   1     -27.74      36.20
 14   2      -5.28       1.42
 14   3     -16.35     -56.96
 14   4      -6.23     -20.53
 14   5      28.02     -19.21
 14   6     -18.16      17.22
 14   7     -12.58      41.02
 14   8     -10.47      95.16
 14   9     -22.25      29.16
 14  10     -26.74       4.71
 14  11     -71.01    -161.81
 14  12     -39.00     -32.15
 14  13      35.43     -56.79
 14  14     -58.32     -11.25
 15   0    -258.67       0.00
 15   1      31.69      38.95
 15   2      36.21       9.63
 15   3      81.53      50.41
 15   4      -0.92       3.70
 15   5     -58.89      -3.61
 15   6     -58.50      -4.30
 15   7      56.50     -18.51
 15   8     -20.43     -78.22
 15   9      19.84      40.55
 15  10     -10.06     146.99
 15  11      24.79     -11.38
 15  12     -16.48     -30.05
 15  13    -126.25      11.67
 15  14     126.54      64.85
 15  15     -45.95      67.53
 16   0      -0.18       0.00
 16   1     -12.06      18.27
 16   2      -9.79      27.05
 16   3       7.26     -41.50
 16   4     -16.80       2.85
 16   5      15.31       6.58
 16   6      33.76     -52.91
 16   7      -7.97     -26.64
 16   8     148.00     -35.33
 16   9      28.55     -71.94
 16  10       6.46      -9.29
 16  11      91.83     167.54
 16  12     108.81     -56.84
 16  13      -7.70     -15.06
 16  14     -69.89      94.61
 16  15     126.02     148.19
 16  16       5.53      45.07
 17   0    -280.62       0.00
 17   1     -34.80     -42.48
 17   2       3.13      33.50
 17   3     -10.72     -67.14
 17   4      -3.00     -12.68
 17   5      29.55      -3.55
 17   6      -6.90      15.44
 17   7     -81.64      16.01
 17   8     -28.18      18.34
 17   9      20.65      -7.72
 17  10       5.59    -100.61
 17  11     -17.30      55.17
 17  12      14.01      84.95
 17  13       5.65       6.48
 17  14    -141.31     -49.57
 17  15     -20.97      94.02
 17  16      68.01      48.47
 17  17      66.00     -69.63
 18   0    -114.36       0.00
 18   1      33.07      46.02
 18   2       2.78     -24.06
 18   3      15.71      14.04
 18   4     -10.43     -19.33
 18   5     -21.41       8.99
 18   6       3.40      33.57
 18   7      36.10       9.58
 18   8    -150.35      48.43
 18   9       0.71      24.68
 18  10      28.74     -19.72
 18  11     -38.90    -103.71
 18  12     -27.98      40.05
 18  13      58.65       1.85
 18  14     -18.72     -42.84
 18  15    -114.61     -43.53
 18  16     -61.02      66.55
 18  17     133.27       6.08
 18  18      17.46    -157.23
 19   0    -187.22       0.00
 19   1     -24.58      64.75
 19   2     -10.67      -7.10
 19   3      53.51     -21.03
 19   4      26.21     -24.84
 19   5     -34.09      -7.24
 19   6      10.04     -26.38
 19   7      61.94     -21.40
 19   8      25.97      -9.63
 19   9     -35.53      37.57
 19  10       3.25      16.79
 19  11       3.90     -47.20
 19  12     -16.98     -49.79
 19  13      64.26      14.42
 19  14     112.76      71.74
 19  15      38.45     -15.86
 19  16      21.02      38.41
 19  17      17.17      83.41
 19  18      63.81      30.43
 19  19     -11.45     -68.26
 20   0      12.77       0.00
 20   1      -3.26     106.06
 20   2       3.11      14.78
 20   3     -17.04     -52.01
 20   4      -0.70      -8.48
 20   5      22.41     -10.12
 20   6       2.09      19.64
 20   7     -23.02      22.04
 20   8      79.44     -38.26
 20   9     -16.92     -19.43
 20  10     -25.23      20.28
 20  11      -7.38      -3.50
 20  12       1.91     -48.94
 20  13     -38.07     -21.16
 20  14      52.02     -69.86
 20  15      34.46       5.48
 20  16       0.89     -23.38
 20  17      12.01      15.67
 20  18      67.44      35.57
 20  19     103.78      -2.26
 20  20      -9.62      32.80
 21   0     -86.74       0.00
 21   1     -33.72     -17.07
 21   2      11.68      -7.50
 21   3      13.71     -12.96
 21   4     -10.79      -4.23
 21   5       6.96     -25.94
 21   6     -39.93     -16.56
 21   7     -31.96      35.11
 21   8     -10.48     -17.32
 21   9      27.70     -18.61
 21  10      -5.43      31.15
 21  11       4.14      58.78
 21  12      30.91      16.48
 21  13     -66.84     -23.39
 21  14     -40.34       6.19
 21  15       6.44     -47.78
 21  16      25.00     -21.89
 21  17     -18.81       3.32
 21  18      -1.70    -108.48
 21  19      40.62     -39.20
 21  20     113.70      -4.37
 21  21      11.45     -77.45
