Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT2175:180
Coefficients for 360 degrees 
  Beginning: CT2174:000  2016:03:16_08h:25m:20s. 
  Centered:  CT2175:180  2016:03:29_23h:43m:31s. 
  End time:  CT2175:005  2016:04:12_05h:56m:12s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

  0   0      -2.74       0.00
  1   0      87.89       0.00
  1   1      16.13     -22.21
  2   0     -73.50       0.00
  2   1      37.46     -16.87
  2   2     -55.68       3.72
  3   0     113.21       0.00
  3   1     -36.17      45.48
  3   2     -14.28       0.09
  3   3      50.31     -80.46
  4   0     -93.17       0.00
  4   1     -65.86      30.62
  4   2      27.33      14.57
  4   3     -60.03     -35.67
  4   4     -16.86     -95.07
  5   0      74.73       0.00
  5   1      12.39      22.05
  5   2      10.79      11.80
  5   3     -16.36      11.78
  5   4      28.50     -43.43
  5   5     -25.47      -4.83
  6   0       9.21       0.00
  6   1      46.59      70.64
  6   2      -3.61      -7.67
  6   3      63.34      78.67
  6   4     -11.13      26.51
  6   5      35.25     -11.61
  6   6      68.75      77.46
  7   0      -2.11       0.00
  7   1      52.07      28.39
  7   2     -25.90     -24.91
  7   3     -25.77      19.93
  7   4     -23.37      47.91
  7   5     -16.20      -5.48
  7   6      -1.55      46.07
  7   7     -29.72     -82.61
  8   0      -9.15       0.00
  8   1     -13.16      38.78
  8   2     -24.83      28.43
  8   3      21.90     -90.45
  8   4       1.60      19.09
  8   5      -3.51      -8.52
  8   6     -10.82     -11.83
  8   7       9.15      -8.23
  8   8      90.05     -13.04
  9   0     -43.94       0.00
  9   1     -18.30      -0.72
  9   2     -38.23      42.98
  9   3      52.14      -8.53
  9   4      29.93     -42.89
  9   5      -1.46       0.78
  9   6      30.25     -55.09
  9   7     -20.27      47.66
  9   8      38.33     -80.02
  9   9      48.20      11.20
 10   0      50.44       0.00
 10   1      -2.94      41.14
 10   2       9.81      -1.87
 10   3     -36.86      22.72
 10   4      12.67     -34.07
 10   5      -2.40      13.30
 10   6       2.77      -6.60
 10   7     -12.13       9.60
 10   8     -42.27     -15.38
 10   9      11.23      21.34
 10  10      16.49     -15.82
 11   0     -80.22       0.00
 11   1       3.22      18.55
 11   2      13.12      -9.94
 11   3     -16.56      -4.33
 11   4     -21.66      12.93
 11   5      -5.02      16.03
 11   6     -17.46      33.68
 11   7      47.94      14.98
 11   8     -48.08      37.49
 11   9      -5.00      -2.67
 11  10     -29.41      47.62
 11  11      -5.12      21.49
 12   0      61.91       0.00
 12   1      -2.91      23.85
 12   2     -23.42      12.76
 12   3      43.20     -12.02
 12   4      -0.00      20.60
 12   5      -5.45      -8.21
 12   6      -0.67      47.96
 12   7      32.57     -20.92
 12   8       1.80      42.74
 12   9      -9.81     -22.92
 12  10     -49.69       9.97
 12  11      22.54     -37.15
 12  12     119.39     -77.78
 13   0    -131.33       0.00
 13   1      14.88       8.55
 13   2     -43.18      -1.01
 13   3      12.68       6.61
 13   4      11.22       3.43
 13   5      -3.34      -8.90
 13   6       7.76      10.60
 13   7     -36.00     -13.42
 13   8      29.62      -7.82
 13   9       5.27     -21.28
 13  10      24.99      -7.01
 13  11     -16.73      -0.02
 13  12      18.21     -27.44
 13  13     -62.22      29.89
 14   0      95.81       0.00
 14   1       6.55     -11.25
 14   2       6.97       9.30
 14   3      14.80     -36.40
 14   4       6.11     -19.00
 14   5      43.23     -15.78
 14   6      18.83     -58.50
 14   7     -38.97       2.29
 14   8      29.55     -30.44
 14   9       8.82      15.96
 14  10      41.46     -31.36
 14  11     -27.68       6.39
 14  12       1.76      -2.86
 14  13       1.47     -23.73
 14  14      22.67      34.81
 15   0    -151.45       0.00
 15   1       0.89      -0.12
 15   2       4.11      19.52
 15   3      13.35       2.74
 15   4      -0.09     -27.51
 15   5      -7.80       6.52
 15   6      26.53     -42.34
 15   7      24.24      14.13
 15   8       5.20       4.41
 15   9     -13.10      21.75
 15  10      -4.08     -14.54
 15  11      -8.29       4.98
 15  12       0.73      -5.70
 15  13     -28.45     -35.88
 15  14     -86.75      49.15
 15  15      -9.61      -3.66
 16   0      92.98       0.00
 16   1      -3.08      -7.75
 16   2     -15.38       8.58
 16   3       6.46       4.71
 16   4      11.45       8.38
 16   5     -44.06      21.26
 16   6       5.23      15.99
 16   7      45.69      15.19
 16   8     -14.62      17.87
 16   9      -1.57      11.54
 16  10     -28.30      27.13
 16  11       2.22      -7.73
 16  12     -23.86       6.00
 16  13     -26.10       8.73
 16  14     -55.19      11.41
 16  15      46.97      26.32
 16  16      88.43      12.49
 17   0    -157.80       0.00
 17   1     -20.03     -15.96
 17   2     -36.03      -2.61
 17   3      11.15      -5.00
 17   4       3.61      15.79
 17   5      13.58       1.65
 17   6     -12.78      41.01
 17   7     -11.49       1.29
 17   8      -9.24       6.94
 17   9       3.21     -15.02
 17  10     -27.48      10.21
 17  11       4.16      -1.71
 17  12     -27.12      12.99
 17  13      10.56      19.41
 17  14      56.03     -35.56
 17  15      23.99      37.35
 17  16      41.18     -12.80
 17  17     -21.29     -15.69
 18   0      86.56       0.00
 18   1       0.56     -53.51
 18   2      -2.05       6.95
 18   3      10.62     -34.65
 18   4       3.59      -4.00
 18   5      39.77     -10.39
 18   6       3.21      -0.91
 18   7     -35.23      -5.17
 18   8       2.84      13.26
 18   9      -5.40      -7.03
 18  10      14.87     -15.17
 18  11       4.88      10.49
 18  12      23.28      -0.48
 18  13      45.94       8.55
 18  14      44.35     -13.60
 18  15     -34.36      -5.03
 18  16       5.49     -35.96
 18  17     -13.55     -57.12
 18  18     -16.79     -38.17
 19   0    -111.29       0.00
 19   1     -11.99     -30.88
 19   2      17.01      -0.41
 19   3      15.49       5.57
 19   4      -2.62     -20.58
 19   5     -15.47       1.29
 19   6      19.54     -31.79
 19   7       0.60      -8.37
 19   8      14.82       0.30
 19   9       3.67       1.60
 19  10      22.92     -12.33
 19  11      -0.62      -7.78
 19  12      49.70     -13.88
 19  13     -10.30      -2.94
 19  14     -27.49      -3.01
 19  15      -5.48     -28.09
 19  16      -3.16      -5.98
 19  17     -17.33     -29.76
 19  18     -53.86      32.78
 19  19       0.21      47.87
 20   0      52.72       0.00
 20   1       0.94     -63.94
 20   2       1.94      -3.59
 20   3      27.33     -16.40
 20   4      13.63     -11.42
 20   5      -8.61       0.78
 20   6       7.42     -19.77
 20   7      31.37       7.45
 20   8      11.76     -17.82
 20   9      -3.77      12.68
 20  10       6.11      -0.61
 20  11      -5.64      -9.68
 20  12     -12.12       2.27
 20  13     -52.77     -15.87
 20  14     -18.31      15.05
 20  15      22.01      -7.03
 20  16     -32.33      20.52
 20  17     -15.85      -3.68
 20  18     -42.51      24.20
 20  19      23.77      -7.32
 20  20      29.01     -64.20
 21   0     -39.76       0.00
 21   1      -6.77     -30.06
 21   2      -9.45       4.16
 21   3       0.55       0.95
 21   4       8.64      -2.41
 21   5       6.84       3.71
 21   6       9.18       5.29
 21   7       2.56      11.28
 21   8       2.58      12.03
 21   9      -6.44       3.31
 21  10     -18.73      12.48
 21  11       2.99      12.35
 21  12     -32.53       8.67
 21  13      14.50       2.67
 21  14      13.09      13.80
 21  15      -4.59      16.16
 21  16     -25.99       8.33
 21  17       9.75      16.84
 21  18       4.97     -26.07
 21  19      12.25      -0.51
 21  20       6.52      -2.57
 21  21     -45.15      -7.27
 22   0     -19.11       0.00
 22   1       4.09     -70.87
 22   2       4.18      -2.34
 22   3       5.59      -5.49
 22   4       9.26       4.38
 22   5      12.18       6.28
 22   6       5.12      -0.69
 22   7     -13.33       5.24
 22   8      -2.95      22.24
 22   9       3.32       5.01
 22  10      -5.87       3.56
 22  11      -1.71       4.01
 22  12       4.42      -1.25
 22  13      35.00      14.11
 22  14     -19.98      -2.23
 22  15     -15.88      -2.19
 22  16      14.47      -1.69
 22  17       9.14       9.82
 22  18      26.79     -19.69
 22  19     -14.77      28.08
 22  20      26.17       1.99
 22  21      -9.22     -42.55
 22  22     -20.17      -8.44
 23   0      77.67       0.00
 23   1     -24.53     -41.26
 23   2      24.54     -11.68
 23   3      14.72      -2.21
 23   4      -3.57      -9.53
 23   5      -1.17       2.69
 23   6       6.94      -1.00
 23   7      -7.18      -6.76
 23   8      -1.18       3.97
 23   9       0.27      -3.77
 23  10       3.72      -7.86
 23  11       6.17     -12.03
 23  12      18.95      -8.13
 23  13     -10.21       3.78
 23  14      -6.15      -6.61
 23  15       4.99       2.39
 23  16      27.34     -17.26
 23  17      -8.04      -2.71
 23  18      12.85       1.36
 23  19      -8.60     -16.82
 23  20      24.88     -15.18
 23  21     -22.45     -16.89
 23  22     -52.45      16.24
 23  23      -6.09      -1.94
 24   0     -82.50       0.00
 24   1      -1.39     -65.11
 24   2       8.80     -13.65
 24   3       5.57     -13.98
 24   4      12.04      -8.30
 24   5       6.19      -2.92
 24   6      11.86     -14.80
 24   7      13.65       7.07
 24   8       4.63     -10.66
 24   9      -5.81       2.17
 24  10      14.50      -2.38
 24  11       3.53      -1.41
 24  12       1.12      -5.23
 24  13     -22.49      -6.33
 24  14      26.97      -2.30
 24  15       8.33     -10.86
 24  16       4.76      -4.89
 24  17      -7.42     -19.52
 24  18      -7.44       2.48
 24  19       9.73     -25.37
 24  20     -18.08       8.76
 24  21     -26.06       7.24
 24  22     -26.54       6.91
 24  23       2.63      -1.39
 24  24       1.58     -34.75
 25   0     203.70       0.00
 25   1      -1.62     -27.43
 25   2      26.70      -7.03
 25   3      -3.96       3.63
 25   4       7.20      -8.32
 25   5      -1.85       4.45
 25   6      15.39     -11.50
 25   7       0.59      -0.29
 25   8      10.04       5.72
 25   9      -1.32       2.29
 25  10      -2.71       2.97
 25  11       2.67       4.96
 25  12      -4.45      -0.54
 25  13       5.82     -10.32
 25  14       5.69      -3.11
 25  15     -10.55      -9.07
 25  16     -14.11       9.03
 25  17       0.23      -4.79
 25  18     -17.66      -1.70
 25  19      -5.81      15.58
 25  20     -35.71      18.66
 25  21      17.65       6.66
 25  22      10.68     -12.20
 25  23       4.25      24.97
 25  24      25.78       7.64
 25  25      -0.54       0.81
 26   0    -163.13       0.00
 26   1       5.46     -25.02
 26   2      15.05     -18.77
 26   3      -0.93      10.43
 26   4       8.20      -2.86
 26   5      12.50       4.76
 26   6       4.76     -11.33
 26   7      -0.40       7.43
 26   8       3.15       9.72
 26   9       1.26       7.68
 26  10      -5.97       1.08
 26  11      -4.19       3.77
 26  12       2.08      -0.28
 26  13       6.02       4.18
 26  14     -23.65       4.15
 26  15     -10.58      11.65
 26  16      -8.48      10.28
 26  17      12.43       6.17
